project,module,source_set,source_root,file,package,type_name,type_kind,role,line_count,effective_line_count,method_count,public_method_count,import_count,internal_import_count,external_import_count,has_main_method,is_entrypoint,entrypoint_reasons,annotations
7ep,demo/desktop_app,main,systems/7ep/demo/desktop_app/src/main/java,systems/7ep/demo/desktop_app/src/main/java/com/coveros/training/autoinsurance/AutoInsuranceAction.java,com.coveros.training.autoinsurance,AutoInsuranceAction,class,other,69,54,8,8,3,0,3,False,False,,
7ep,demo/desktop_app,main,systems/7ep/demo/desktop_app/src/main/java,systems/7ep/demo/desktop_app/src/main/java/com/coveros/training/autoinsurance/AutoInsuranceProcessor.java,com.coveros.training.autoinsurance,AutoInsuranceProcessor,class,other,45,29,3,0,0,0,0,False,False,,
7ep,demo/desktop_app,main,systems/7ep/demo/desktop_app/src/main/java,systems/7ep/demo/desktop_app/src/main/java/com/coveros/training/autoinsurance/AutoInsuranceScriptServer.java,com.coveros.training.autoinsurance,AutoInsuranceScriptServer,class,other,130,104,10,6,11,0,11,False,False,,Override|Override|Override
7ep,demo/desktop_app,main,systems/7ep/demo/desktop_app/src/main/java,systems/7ep/demo/desktop_app/src/main/java/com/coveros/training/autoinsurance/AutoInsuranceUI.java,com.coveros.training.autoinsurance,AutoInsuranceUI,class,other,196,125,15,4,5,0,5,True,True,main-method,
7ep,demo/desktop_app,main,systems/7ep/demo/desktop_app/src/main/java,systems/7ep/demo/desktop_app/src/main/java/com/coveros/training/autoinsurance/InvalidClaimsException.java,com.coveros.training.autoinsurance,InvalidClaimsException,class,other,7,6,2,2,0,0,0,False,False,,
7ep,demo/desktop_app,main,systems/7ep/demo/desktop_app/src/main/java,systems/7ep/demo/desktop_app/src/main/java/com/coveros/training/autoinsurance/WarningLetterEnum.java,com.coveros.training.autoinsurance,WarningLetterEnum,enum,other,12,7,0,0,0,0,0,False,False,,
7ep,demo/desktop_app,test,systems/7ep/demo/desktop_app/src/test/java,systems/7ep/demo/desktop_app/src/test/java/com/coveros/training/autoinsurance/AutoInsuranceActionTests.java,com.coveros.training.autoinsurance,AutoInsuranceActionTests,class,test,31,24,4,4,4,0,4,False,False,,Test|Test|Test
7ep,demo/desktop_app,test,systems/7ep/demo/desktop_app/src/test/java,systems/7ep/demo/desktop_app/src/test/java/com/coveros/training/autoinsurance/AutoInsuranceProcessorTests.java,com.coveros.training.autoinsurance,AutoInsuranceProcessorTests,class,test,102,76,4,4,7,0,7,False,False,,RunWith|Parameters|Test
7ep,demo/desktop_app,test,systems/7ep/demo/desktop_app/src/test/java,systems/7ep/demo/desktop_app/src/test/java/com/coveros/training/autoinsurance/AutoInsuranceScriptClient.java,com.coveros.training.autoinsurance,AutoInsuranceScriptClient,class,test,48,41,2,1,8,0,8,False,False,,
7ep,demo/desktop_app,test,systems/7ep/demo/desktop_app/src/test/java,systems/7ep/demo/desktop_app/src/test/java/com/coveros/training/autoinsurance/DesktopTester.java,com.coveros.training.autoinsurance,DesktopTester,class,test,33,22,7,7,0,0,0,False,False,,
7ep,demo/desktop_app,test,systems/7ep/demo/desktop_app/src/test/java,systems/7ep/demo/desktop_app/src/test/java/com/coveros/training/autoinsurance/DesktopUiTests.java,com.coveros.training.autoinsurance,DesktopUiTests,class,test,30,21,2,2,4,0,4,False,False,,Before|Test
7ep,demo/desktop_app,test,systems/7ep/demo/desktop_app/src/test/java,systems/7ep/demo/desktop_app/src/test/java/com/coveros/training/autoinsurance/ExecutionDataClient.java,com.coveros.training.autoinsurance,ExecutionDataClient,class,test,66,33,3,1,7,0,7,True,True,main-method,
7ep,demo,other-java,systems/7ep/demo/src/bdd_test/java,systems/7ep/demo/src/bdd_test/java/com/coveros/training/authentication/LoginStepDefs.java,com.coveros.training.authentication,LoginStepDefs,class,other,49,35,5,4,6,2,4,False,False,,Given|Then|Then|When
