project,source_package,target_package,category,count
7ep,com.coveros.training.library,javax.servlet.http,external,30
7ep,com.coveros.training.library,com.coveros.training.library.domainobjects,internal,29
7ep,com.coveros.training.library,org.junit,external,20
7ep,com.coveros.training.authentication,org.junit,external,16
7ep,com.coveros.training.library,com.coveros.training.helpers,internal,16
7ep,com.coveros.training.mathematics,javax.servlet.http,external,15
7ep,com.coveros.training.library,java.util,external,14
7ep,com.coveros.training.library,org.slf4j,external,14
7ep,com.coveros.training.mathematics,org.junit,external,13
7ep,com.coveros.training.persistence,java.util,external,12
7ep,com.coveros.training.authentication,com.coveros.training.authentication.domainobjects,internal,11
7ep,com.coveros.training.library,java.time,external,11
7ep,com.coveros.training.persistence,java.sql,external,11
7ep,com.coveros.training.authentication,com.coveros.training.persistence,internal,10
7ep,com.coveros.training.authentication,javax.servlet.http,external,10
7ep,com.coveros.training.autoinsurance,java.io,external,10
7ep,com.coveros.training.persistence,org.junit,external,10
7ep,com.coveros.training.authentication.domainobjects,org.apache.commons.lang3.builder,external,9
7ep,com.coveros.training.library,javax.servlet.annotation,external,9
7ep,com.coveros.training.library.domainobjects,org.apache.commons.lang3.builder,external,9
7ep,com.coveros.training.mathematics,org.slf4j,external,9
7ep,com.coveros.training.persistence,com.coveros.training.library.domainobjects,internal,9
7ep,com.coveros.training.authentication,com.coveros.training.helpers,internal,8
7ep,com.coveros.training.authentication,org.slf4j,external,8
7ep,com.coveros.training.autoinsurance,org.junit,external,8
7ep,com.coveros.training.library,org.mockito,external,8
7ep,com.coveros.training.library,org.mockito.Mockito,external,8
7ep,com.coveros.training.mathematics,java.math,external,8
7ep,com.coveros.training.mathematics,java.util,external,8
7ep,com.coveros.training.library,com.coveros.training.persistence,internal,7
7ep,com.coveros.training.library,io.cucumber.java.en,external,7
7ep,com.coveros.training.library,java.sql,external,7
7ep,com.coveros.training.math,io.cucumber.java.en,external,7
7ep,com.coveros.training.authentication,io.cucumber.java.en,external,6
7ep,com.coveros.training.authentication.domainobjects,org.junit,external,6
7ep,com.coveros.training.autoinsurance,java.net,external,6
7ep,com.coveros.training.library.domainobjects,org.junit,external,6
7ep,com.coveros.training.mathematics,com.coveros.training.helpers,internal,6
7ep,com.coveros.training.mathematics,javax.servlet,external,6
7ep,com.coveros.training.mathematics,javax.servlet.annotation,external,6
7ep,com.coveros.training.persistence,org.apache.commons.lang3.builder,external,6
7ep,com.coveros.training.authentication,java.util,external,5
7ep,com.coveros.training.cartesianproduct,java.util,external,5
7ep,com.coveros.training.helpers,org.junit,external,5
7ep,com.coveros.training.library,javax.servlet,external,5
7ep,com.coveros.training.mathematics,java.util.function,external,5
7ep,com.coveros.training.persistence,javax.servlet.http,external,5
7ep,com.coveros.training,com.gargoylesoftware.htmlunit.html,external,4
7ep,com.coveros.training,org.junit,external,4
7ep,com.coveros.training,org.junit.Assert,external,4
7ep,com.coveros.training.authentication,org.mockito.Mockito,external,4
7ep,com.coveros.training.autoinsurance,org.slf4j,external,4
7ep,com.coveros.training.mathematics,org.mockito,external,4
7ep,com.coveros.training.mathematics,org.mockito.Mockito,external,4
7ep,com.coveros.training.persistence,com.coveros.training.authentication.domainobjects,internal,4
7ep,com.coveros.training.persistence,com.coveros.training.helpers,internal,4
7ep,com.coveros.training.persistence,java.time,external,4
7ep,com.coveros.training.persistence,org.mockito,external,4
7ep,com.coveros.training,org.apache.http.client.fluent,external,3
7ep,com.coveros.training,org.openqa.selenium,external,3
7ep,com.coveros.training.authentication,com.coveros.training.authentication.domainobjects.PasswordResultEnums,external,3
7ep,com.coveros.training.authentication,org.mockito,external,3
7ep,com.coveros.training.authentication.domainobjects,nl.jqno.equalsverifier,external,3
7ep,com.coveros.training.authentication.domainobjects,org.checkerframework.checker.nullness.qual,external,3
7ep,com.coveros.training.autoinsurance,java.util,external,3
7ep,com.coveros.training.autoinsurance,org.apache.commons.lang3.builder,external,3
7ep,com.coveros.training.cartesianproduct,io.cucumber.java.en,external,3
7ep,com.coveros.training.expenses,io.cucumber.java.en,external,3
7ep,com.coveros.training.library,java.util.stream,external,3
7ep,com.coveros.training.library.domainobjects,nl.jqno.equalsverifier,external,3
7ep,com.coveros.training.library.domainobjects,org.checkerframework.checker.nullness.qual,external,3
7ep,com.coveros.training.math,org.junit,external,3
7ep,com.coveros.training.mathematics,java.io,external,3
7ep,com.coveros.training.mathematics,java.util.stream,external,3
7ep,com.coveros.training.mathematics,org.junit.runner,external,3
7ep,com.coveros.training.mathematics,org.junit.runners,external,3
7ep,com.coveros.training.mathematics,org.junit.runners.Parameterized,external,3
7ep,com.coveros.training.persistence,javax.sql,external,3
7ep,com.coveros.training.persistence,org.mockito.Mockito,external,3
7ep,com.coveros.training.selenified,org.openqa.selenium,external,3
7ep,com.coveros.training.tomcat,com.coveros.training.persistence,internal,3
7ep,com.coveros.training.tomcat,javax.servlet,external,3
7ep,com.coveros.training,com.gargoylesoftware.htmlunit,external,2
7ep,com.coveros.training.authentication,javax.servlet,external,2
7ep,com.coveros.training.authentication,javax.servlet.annotation,external,2
7ep,com.coveros.training.authentication,me.gosimple.nbvcxz.scoring,external,2
7ep,com.coveros.training.autoinsurance,org.jacoco.core.runtime,external,2
7ep,com.coveros.training.helpers,java.time,external,2
7ep,com.coveros.training.helpers,javax.servlet.http,external,2
7ep,com.coveros.training.library,com.coveros.training.library.LibraryUtilsTests,external,2
7ep,com.coveros.training.library.domainobjects,com.coveros.training.helpers,internal,2
7ep,com.coveros.training.library.domainobjects,java.sql,external,2
7ep,com.coveros.training.library.domainobjects,java.time,external,2
7ep,com.coveros.training.math,com.coveros.training.mathematics,internal,2
7ep,com.coveros.training.persistence,java.io,external,2
7ep,com.coveros.training.persistence,java.security,external,2
7ep,com.coveros.training.persistence,java.util.function,external,2
7ep,com.coveros.training.persistence,nl.jqno.equalsverifier,external,2
7ep,com.coveros.training.persistence,org.checkerframework.checker.nullness.qual,external,2
7ep,com.coveros.training.persistence,org.h2.jdbcx,external,2
7ep,com.coveros.training.persistence,org.junit.Assert,external,2
