project,module,source_set,source_root,file,package,type_name,type_kind,role,line_count,effective_line_count,method_count,public_method_count,import_count,internal_import_count,external_import_count,has_main_method,is_entrypoint,entrypoint_reasons,annotations
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/Application.java,io.innofang.jokul,Application,class,bootstrap,23,19,2,1,5,1,4,True,True,main-method|application-bootstrap,SpringBootApplication|Bean
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/aspect/HttpAspect.java,io.innofang.jokul.aspect,HttpAspect,class,aspect,57,36,4,4,8,0,8,False,False,,Aspect|Component|Pointcut|Before|After|AfterReturning
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/config/CrossOriginConfig.java,io.innofang.jokul.config,CrossOriginConfig,class,configuration,30,22,2,1,5,0,5,False,False,,Configuration|Bean
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/controller/MovieController.java,io.innofang.jokul.controller,MovieController,class,controller,90,76,1,1,16,8,8,False,True,http-entrypoint,RestController|Autowired|Autowired|GetMapping|GetMapping|GetMapping|PostMapping|RequestBody|PostMapping|PostMapping
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/controller/MovieUploadController.java,io.innofang.jokul.controller,MovieUploadController,class,controller,77,63,4,4,15,5,10,False,True,http-entrypoint,RestController|Autowired|Autowired|GetMapping|GetMapping|PostMapping|PostMapping
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/controller/TypeController.java,io.innofang.jokul.controller,TypeController,class,controller,42,32,1,1,12,6,6,False,True,http-entrypoint,RestController|Autowired|GetMapping|PathVariable|GetMapping|GetMapping
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/controller/UserController.java,io.innofang.jokul.controller,UserController,class,controller,53,45,0,0,9,5,4,False,True,http-entrypoint,RestController|Autowired|PostMapping|RequestParam|RequestParam|PostMapping|RequestParam|RequestParam
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/domain/Movie.java,io.innofang.jokul.domain,Movie,class,domain,176,120,30,30,2,0,2,False,False,,Entity|Id|GeneratedValue|Column|Column|Column|Column|ManyToMany|JoinTable
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/domain/Result.java,io.innofang.jokul.domain,Result,class,domain,37,24,6,6,0,0,0,False,False,,
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/domain/Type.java,io.innofang.jokul.domain,Type,class,domain,84,67,10,10,5,1,4,False,False,,Entity|SqlResultSetMapping|ConstructorResult|ColumnResult|ColumnResult|ColumnResult|NamedNativeQuery|JsonSerialize|JsonIgnore|Id|GeneratedValue|Column|JsonIgnore|ManyToMany|JoinTable
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/domain/User.java,io.innofang.jokul.domain,User,class,domain,59,41,8,8,5,0,5,False,False,,Entity|Id|GeneratedValue|Column|ColumnDefault
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/enums/ResultEnum.java,io.innofang.jokul.enums,ResultEnum,enum,other,51,42,5,4,0,0,0,False,False,,
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/exception/BaseException.java,io.innofang.jokul.exception,BaseException,class,exception,36,25,10,10,1,1,0,False,False,,
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/exception/MovieNotFoundException.java,io.innofang.jokul.exception,MovieNotFoundException,class,exception,12,7,2,2,1,1,0,False,False,,
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/exception/StorageException.java,io.innofang.jokul.exception,StorageException,class,exception,15,9,4,4,0,0,0,False,False,,
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/exception/StorageFileNotFoundException.java,io.innofang.jokul.exception,StorageFileNotFoundException,class,exception,14,9,4,4,0,0,0,False,False,,
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/handle/ExceptionHandle.java,io.innofang.jokul.handle,ExceptionHandle,class,other,31,24,1,1,9,4,5,False,False,,ControllerAdvice|ExceptionHandler|ResponseBody
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/properties/StorageProperties.java,io.innofang.jokul.properties,StorageProperties,class,other,41,25,5,5,3,0,3,False,False,,Component|ConfigurationProperties
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/repositories/MovieRepository.java,io.innofang.jokul.repositories,MovieRepository,interface,other,11,6,0,0,2,1,1,False,False,,
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/repositories/TypeRepository.java,io.innofang.jokul.repositories,TypeRepository,interface,other,22,14,0,0,7,2,5,False,False,,Query
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/repositories/UserRepository.java,io.innofang.jokul.repositories,UserRepository,interface,other,11,6,0,0,2,1,1,False,False,,
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/services/FileSystemStorageService.java,io.innofang.jokul.services,FileSystemStorageService,class,service,105,90,9,9,18,3,15,False,False,,Service|Autowired|Override|Override|Override|Override|Override|Override|Override
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/services/StorageService.java,io.innofang.jokul.services,StorageService,interface,service,21,15,0,0,5,0,5,False,False,,
Jokul,jokul/jokul-server,main,systems/Jokul/jokul/jokul-server/src/main/java,systems/Jokul/jokul/jokul-server/src/main/java/io/innofang/jokul/utils/ResultUtil.java,io.innofang.jokul.utils,ResultUtil,class,utility,36,27,4,4,2,2,0,False,False,,
