project,source_package,target_package,category,count
Jokul,io.innofang.jokul.controller,io.innofang.jokul.domain,internal,9
Jokul,io.innofang.jokul.controller,org.springframework.web.bind.annotation,external,8
Jokul,io.innofang.jokul.domain,javax.persistence,external,6
Jokul,io.innofang.jokul.repositories,io.innofang.jokul.domain,internal,6
Jokul,io.innofang.jokul.repositories,org.junit,external,6
Jokul,io.innofang.jokul.controller,io.innofang.jokul.repositories,internal,5
Jokul,io.innofang.jokul.controller,java.util,external,5
Jokul,io.innofang.jokul.controller,org.springframework.beans.factory.annotation,external,5
Jokul,io.innofang.jokul.repositories,java.util,external,5
Jokul,io.innofang.jokul.services,java.io,external,5
Jokul,io.innofang.jokul.controller,io.innofang.jokul.enums,internal,4
Jokul,io.innofang.jokul.controller,io.innofang.jokul.utils,internal,4
Jokul,io.innofang.jokul.controller,org.springframework.data.domain,external,4
Jokul,io.innofang.jokul.repositories,org.springframework.data.jpa.repository,external,4
Jokul,io.innofang.jokul.services,java.nio.file,external,4
Jokul,io.innofang.jokul.handle,org.springframework.web.bind.annotation,external,3
Jokul,io.innofang.jokul.services,org.springframework.core.io,external,3
Jokul,io.innofang.jokul,org.springframework.boot,external,2
Jokul,io.innofang.jokul.aspect,org.slf4j,external,2
Jokul,io.innofang.jokul.aspect,org.springframework.web.context.request,external,2
Jokul,io.innofang.jokul.config,org.springframework.context.annotation,external,2
Jokul,io.innofang.jokul.config,org.springframework.web.cors,external,2
Jokul,io.innofang.jokul.controller,org.junit,external,2
Jokul,io.innofang.jokul.controller,org.springframework.http,external,2
Jokul,io.innofang.jokul.controller,org.springframework.test.web.servlet,external,2
Jokul,io.innofang.jokul.domain,java.util,external,2
Jokul,io.innofang.jokul.exception,io.innofang.jokul.enums,internal,2
Jokul,io.innofang.jokul.handle,org.slf4j,external,2
Jokul,io.innofang.jokul.repositories,org.junit.runner,external,2
Jokul,io.innofang.jokul.repositories,org.springframework.beans.factory.annotation,external,2
Jokul,io.innofang.jokul.repositories,org.springframework.boot.test.autoconfigure.web.servlet,external,2
Jokul,io.innofang.jokul.repositories,org.springframework.boot.test.context,external,2
Jokul,io.innofang.jokul.repositories,org.springframework.test.context.junit4,external,2
Jokul,io.innofang.jokul.services,io.innofang.jokul.exception,internal,2
Jokul,io.innofang.jokul.services,java.util.stream,external,2
Jokul,io.innofang.jokul.services,org.springframework.web.multipart,external,2
Jokul,io.innofang.jokul.utils,com.fasterxml.jackson.databind,external,2
Jokul,io.innofang.jokul.utils,io.innofang.jokul.domain,internal,2
Jokul,io.innofang.jokul,io.innofang.jokul.services,internal,1
Jokul,io.innofang.jokul,org.springframework.boot.autoconfigure,external,1
Jokul,io.innofang.jokul,org.springframework.context.annotation,external,1
Jokul,io.innofang.jokul.aspect,javax.servlet.http,external,1
Jokul,io.innofang.jokul.aspect,org.aspectj.lang,external,1
Jokul,io.innofang.jokul.aspect,org.aspectj.lang.annotation,external,1
Jokul,io.innofang.jokul.aspect,org.springframework.stereotype,external,1
Jokul,io.innofang.jokul.config,org.springframework.web.filter,external,1
Jokul,io.innofang.jokul.controller,io.innofang.jokul.exception,internal,1
Jokul,io.innofang.jokul.controller,io.innofang.jokul.properties,internal,1
Jokul,io.innofang.jokul.controller,io.innofang.jokul.services,internal,1
Jokul,io.innofang.jokul.controller,java.io,external,1
Jokul,io.innofang.jokul.controller,java.util.stream,external,1
Jokul,io.innofang.jokul.controller,org.junit.runner,external,1
Jokul,io.innofang.jokul.controller,org.springframework.boot.test.autoconfigure.web.servlet,external,1
Jokul,io.innofang.jokul.controller,org.springframework.boot.test.context,external,1
Jokul,io.innofang.jokul.controller,org.springframework.core.io,external,1
Jokul,io.innofang.jokul.controller,org.springframework.test.context.junit4,external,1
Jokul,io.innofang.jokul.controller,org.springframework.web.multipart,external,1
Jokul,io.innofang.jokul.controller,org.springframework.web.servlet.mvc.method.annotation,external,1
Jokul,io.innofang.jokul.domain,com.fasterxml.jackson.annotation,external,1
Jokul,io.innofang.jokul.domain,com.fasterxml.jackson.databind.annotation,external,1
Jokul,io.innofang.jokul.domain,io.innofang.jokul.utils,internal,1
Jokul,io.innofang.jokul.domain,org.hibernate.annotations,external,1
Jokul,io.innofang.jokul.handle,io.innofang.jokul.domain,internal,1
Jokul,io.innofang.jokul.handle,io.innofang.jokul.enums,internal,1
Jokul,io.innofang.jokul.handle,io.innofang.jokul.exception,internal,1
Jokul,io.innofang.jokul.handle,io.innofang.jokul.utils,internal,1
Jokul,io.innofang.jokul.properties,java.io,external,1
Jokul,io.innofang.jokul.properties,org.springframework.boot.context.properties,external,1
Jokul,io.innofang.jokul.properties,org.springframework.stereotype,external,1
Jokul,io.innofang.jokul.repositories,org.springframework.data.domain,external,1
Jokul,io.innofang.jokul.repositories,org.springframework.data.repository.query,external,1
Jokul,io.innofang.jokul.services,io.innofang.jokul.properties,internal,1
Jokul,io.innofang.jokul.services,java.net,external,1
Jokul,io.innofang.jokul.services,org.springframework.beans.factory.annotation,external,1
Jokul,io.innofang.jokul.services,org.springframework.stereotype,external,1
Jokul,io.innofang.jokul.services,org.springframework.util,external,1
Jokul,io.innofang.jokul.utils,com.fasterxml.jackson.core,external,1
Jokul,io.innofang.jokul.utils,io.innofang.jokul.enums,internal,1
Jokul,io.innofang.jokul.utils,java.io,external,1
