project,package,class_count,method_count,public_method_count,incoming_internal_dependencies,outgoing_internal_dependencies,roles
Jokul,io.innofang.jokul,1,2,1,0,1,bootstrap:1
Jokul,io.innofang.jokul.aspect,1,4,4,0,0,aspect:1
Jokul,io.innofang.jokul.config,1,2,1,0,0,configuration:1
Jokul,io.innofang.jokul.controller,5,8,7,0,25,controller:4|test:1
Jokul,io.innofang.jokul.domain,4,54,54,18,1,domain:4
Jokul,io.innofang.jokul.enums,1,5,4,8,0,other:1
Jokul,io.innofang.jokul.exception,4,20,20,4,2,exception:4
Jokul,io.innofang.jokul.handle,1,1,1,0,4,other:1
Jokul,io.innofang.jokul.properties,1,5,5,2,0,other:1
Jokul,io.innofang.jokul.repositories,5,4,4,5,6,other:3|test:2
Jokul,io.innofang.jokul.services,2,9,9,2,3,service:2
Jokul,io.innofang.jokul.utils,2,5,5,6,3,utility:2
