project,module,source_set,source_root,file,package,type_name,type_kind,role,line_count,effective_line_count,method_count,public_method_count,import_count,internal_import_count,external_import_count,has_main_method,is_entrypoint,entrypoint_reasons,annotations
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/Account.java,com.autentia.tnt.businessobject,Account,class,other,198,94,21,18,4,1,3,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/AccountEntry.java,com.autentia.tnt.businessobject,AccountEntry,class,other,228,138,35,32,6,1,5,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/AccountEntryGroup.java,com.autentia.tnt.businessobject,AccountEntryGroup,class,other,169,78,17,14,4,1,3,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/AccountEntryType.java,com.autentia.tnt.businessobject,AccountEntryType,class,other,215,101,23,20,4,1,3,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/AccountType.java,com.autentia.tnt.businessobject,AccountType,class,other,156,71,15,12,4,1,3,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/Activity.java,com.autentia.tnt.businessobject,Activity,class,other,268,152,37,34,6,2,4,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/ActivityApprovalState.java,com.autentia.tnt.businessobject,ActivityApprovalState,enum,other,5,4,0,0,0,0,0,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/ActivityFile.java,com.autentia.tnt.businessobject,ActivityFile,class,other,197,92,21,19,4,1,3,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/AdminHoliday.java,com.autentia.tnt.businessobject,AdminHoliday,class,other,207,110,27,24,4,1,3,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/ArchimedesSecuritySubject.java,com.autentia.tnt.businessobject,ArchimedesSecuritySubject,class,other,87,62,14,14,4,1,3,False,False,,Override|Override|Override|Override|Override|Override|Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/Bill.java,com.autentia.tnt.businessobject,Bill,class,other,631,423,83,80,8,1,7,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/BillBreakDown.java,com.autentia.tnt.businessobject,BillBreakDown,class,other,297,174,38,35,6,1,5,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/BillCategory.java,com.autentia.tnt.businessobject,BillCategory,class,other,96,73,17,15,4,1,3,False,False,,Override|Override|Override|Override|Override|Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/BillingType.java,com.autentia.tnt.businessobject,BillingType,enum,other,5,4,0,0,0,0,0,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/BillPayment.java,com.autentia.tnt.businessobject,BillPayment,class,other,115,68,17,15,5,1,4,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/BillPaymentMode.java,com.autentia.tnt.businessobject,BillPaymentMode,enum,other,25,4,0,0,0,0,0,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/BillRegime.java,com.autentia.tnt.businessobject,BillRegime,class,other,96,74,17,15,4,1,3,False,False,,Override|Override|Override|Override|Override|Override|Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/BillState.java,com.autentia.tnt.businessobject,BillState,enum,other,25,4,0,0,0,0,0,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/BillType.java,com.autentia.tnt.businessobject,BillType,enum,other,25,4,0,0,0,0,0,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/Book.java,com.autentia.tnt.businessobject,Book,class,other,236,115,27,24,5,1,4,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/BulletinBoard.java,com.autentia.tnt.businessobject,BulletinBoard,class,other,230,128,27,24,4,1,3,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/BulletinBoardCategory.java,com.autentia.tnt.businessobject,BulletinBoardCategory,class,other,171,80,17,14,4,1,3,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/Collaborator.java,com.autentia.tnt.businessobject,Collaborator,class,other,200,100,22,19,4,1,3,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/CollaboratorType.java,com.autentia.tnt.businessobject,CollaboratorType,enum,other,22,4,0,0,0,0,0,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/Commissioning.java,com.autentia.tnt.businessobject,Commissioning,class,other,459,297,70,67,8,1,7,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/CommissioningChange.java,com.autentia.tnt.businessobject,CommissioningChange,class,other,242,113,27,25,4,1,3,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/CommissioningDelay.java,com.autentia.tnt.businessobject,CommissioningDelay,class,other,166,99,23,20,4,1,3,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/CommissioningFile.java,com.autentia.tnt.businessobject,CommissioningFile,class,other,197,92,21,19,4,1,3,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/CommissioningPaymentData.java,com.autentia.tnt.businessobject,CommissioningPaymentData,class,other,217,106,23,20,6,1,5,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/CommissioningStatus.java,com.autentia.tnt.businessobject,CommissioningStatus,enum,other,22,4,0,0,0,0,0,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/CompanyState.java,com.autentia.tnt.businessobject,CompanyState,class,other,180,88,19,16,5,2,3,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/Contact.java,com.autentia.tnt.businessobject,Contact,class,other,383,253,53,47,9,3,6,False,False,,ChangesHistory|ChangesHistory|ChangesHistory|ChangesHistory|ChangesHistory|ChangesHistory|ChangesHistory|ChangesHistory|ChangesHistory|ChangesHistory|ChangesHistory|ChangesHistory|ChangesHistory|Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/ContactInfo.java,com.autentia.tnt.businessobject,ContactInfo,class,other,127,84,12,12,1,0,1,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/ContractType.java,com.autentia.tnt.businessobject,ContractType,class,other,170,79,17,14,4,1,3,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/Country.java,com.autentia.tnt.businessobject,Country,class,other,104,80,19,17,4,1,3,False,False,,Override|Override|Override|Override|Override|Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/CreditTitle.java,com.autentia.tnt.businessobject,CreditTitle,class,other,268,137,33,30,6,1,5,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/CreditTitleState.java,com.autentia.tnt.businessobject,CreditTitleState,enum,other,22,4,0,0,0,0,0,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/CreditTitleType.java,com.autentia.tnt.businessobject,CreditTitleType,enum,other,22,4,0,0,0,0,0,False,False,,
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/Department.java,com.autentia.tnt.businessobject,Department,class,other,228,120,28,25,7,1,6,False,False,,Override|Override
TNTConcept,TNTConcept/tntconcept-core,main,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java,systems/TNTConcept/TNTConcept/tntconcept-core/src/main/java/com/autentia/tnt/businessobject/Document.java,com.autentia.tnt.businessobject,Document,class,other,238,126,26,22,6,1,5,False,False,,
