project,source_package,target_package,category,count
TNTConcept,com.autentia.tnt.dao.hibernate,com.autentia.tnt.dao,internal,220
TNTConcept,com.autentia.tnt.businessobject,java.util,external,180
TNTConcept,com.autentia.tnt.dao.hibernate,com.autentia.tnt.businessobject,internal,165
TNTConcept,com.autentia.tnt.dao.hibernate,java.util,external,158
TNTConcept,com.autentia.tnt.dao.hibernate,com.autentia.tnt.util,internal,135
TNTConcept,com.autentia.tnt.dao.hibernate,org.apache.commons.logging,external,104
TNTConcept,com.autentia.tnt.dao.hibernate,com.autentia.tnt.test.utils,internal,91
TNTConcept,com.autentia.tnt.dao.search,java.util,external,89
TNTConcept,com.autentia.tnt.bean,com.autentia.tnt.businessobject,internal,87
TNTConcept,com.autentia.tnt.dao.hibernate,org.junit.Assert,external,77
TNTConcept,com.autentia.tnt.businessobject,java.io,external,74
TNTConcept,com.autentia.tnt.dao.search,com.autentia.tnt.businessobject,internal,74
TNTConcept,com.autentia.tnt.businessobject,com.autentia.tnt.dao,internal,71
TNTConcept,com.autentia.tnt.dao.search,com.autentia.tnt.dao,internal,67
TNTConcept,com.autentia.tnt.dao.hibernate,org.junit,external,62
TNTConcept,com.autentia.tnt.dao.hibernate,com.autentia.tnt.dao.search,internal,61
TNTConcept,com.autentia.tnt.dao.hibernate,org.hibernate,external,58
TNTConcept,com.autentia.tnt.bean.contacts,com.autentia.tnt.businessobject,internal,53
TNTConcept,com.autentia.tnt.bean.contacts,java.util,external,48
TNTConcept,com.autentia.tnt.dao.search,java.math,external,45
TNTConcept,com.autentia.tnt.dao.search,org.hibernate.type,external,37
TNTConcept,com.autentia.tnt.bean.contacts,com.autentia.tnt.manager.contacts,internal,32
TNTConcept,com.autentia.tnt.bean.reports,java.util,external,32
TNTConcept,com.autentia.tnt.manager.admin,org.apache.commons.logging,external,32
TNTConcept,com.autentia.tnt.report,net.sf.jasperreports.engine,external,32
TNTConcept,com.autentia.tnt.bean.contacts,com.autentia.tnt.util,internal,30
TNTConcept,com.autentia.tnt.manager.admin,com.autentia.tnt.businessobject,internal,29
TNTConcept,com.autentia.tnt.manager.contacts,com.autentia.tnt.businessobject,internal,28
TNTConcept,com.autentia.tnt.manager.billing,com.autentia.tnt.businessobject,internal,27
TNTConcept,com.autentia.tnt.bean.account,com.autentia.tnt.businessobject,internal,26
TNTConcept,com.autentia.tnt.manager.contacts,org.apache.commons.logging,external,26
TNTConcept,com.autentia.tnt.bean,com.autentia.tnt.util,internal,25
TNTConcept,com.autentia.tnt.bean,java.util,external,25
TNTConcept,com.autentia.tnt.bean.billing,java.util,external,25
TNTConcept,com.autentia.tnt.manager.admin,com.autentia.tnt.dao.hibernate,internal,25
TNTConcept,com.autentia.tnt.bean.account,java.util,external,24
TNTConcept,com.autentia.tnt.bean.activity,java.util,external,24
TNTConcept,com.autentia.tnt.businessobject,java.math,external,24
TNTConcept,com.autentia.tnt.bean.activity,com.autentia.tnt.businessobject,internal,23
TNTConcept,com.autentia.tnt.bean.contacts,com.autentia.tnt.bean,internal,23
TNTConcept,com.autentia.tnt.bean.contacts,com.autentia.tnt.upload,internal,22
TNTConcept,com.autentia.tnt.bean.contacts,org.apache.commons.logging,external,22
TNTConcept,com.autentia.tnt.bean.reports,org.apache.commons.logging,external,22
TNTConcept,com.autentia.tnt.manager.contacts,com.autentia.tnt.dao.hibernate,internal,21
TNTConcept,com.autentia.tnt.bean.admin,com.autentia.tnt.businessobject,internal,20
TNTConcept,com.autentia.tnt.bean.admin,com.autentia.tnt.manager.admin,internal,20
TNTConcept,com.autentia.tnt.manager.admin,java.util,external,20
TNTConcept,com.autentia.tnt.validator,javax.faces.validator,external,20
TNTConcept,com.autentia.tnt.manager.billing,java.util,external,19
TNTConcept,com.autentia.tnt.manager.contacts,java.util,external,19
TNTConcept,com.autentia.tnt.report,java.util,external,19
TNTConcept,com.autentia.tnt.test.utils,com.autentia.tnt.businessobject,internal,19
TNTConcept,com.autentia.tnt.util,java.util,external,19
TNTConcept,com.autentia.tnt.bean,org.apache.commons.logging,external,18
TNTConcept,com.autentia.tnt.bean.admin,java.util,external,18
TNTConcept,com.autentia.tnt.bean.contacts,com.autentia.tnt.dao.search,internal,18
TNTConcept,com.autentia.tnt.manager.billing,org.apache.commons.logging,external,18
TNTConcept,com.autentia.tnt.bean.admin,com.autentia.tnt.util,internal,17
TNTConcept,com.autentia.tnt.bean.billing,com.autentia.tnt.businessobject,internal,17
TNTConcept,com.autentia.tnt.bean.billing,com.autentia.tnt.util,internal,17
TNTConcept,com.autentia.tnt.manager.admin,com.autentia.tnt.dao,internal,17
TNTConcept,com.autentia.tnt.manager.security,javax.naming.directory,external,17
TNTConcept,com.autentia.tnt.manager.security,org.junit,external,17
