project,package,class_count,method_count,public_method_count,incoming_internal_dependencies,outgoing_internal_dependencies,roles
TNTConcept,com.autentia.jsf.component,1,25,22,4,0,other:1
TNTConcept,com.autentia.jsf.component.html,1,10,10,3,2,other:1
TNTConcept,com.autentia.jsf.component.ocupation,5,54,45,5,0,other:5
TNTConcept,com.autentia.jsf.renderer.html,1,1,1,1,3,other:1
TNTConcept,com.autentia.jsf.tag,2,9,7,1,2,other:2
TNTConcept,com.autentia.jsf.tag.html,1,7,6,0,3,other:1
TNTConcept,com.autentia.jsf.util,1,1,1,1,0,utility:1
TNTConcept,com.autentia.tnt.bean,20,135,110,85,160,other:15|test:5
TNTConcept,com.autentia.tnt.bean.account,7,433,428,5,86,other:7
TNTConcept,com.autentia.tnt.bean.activity,11,485,461,8,108,other:8|test:3
TNTConcept,com.autentia.tnt.bean.admin,10,1111,1107,1,124,other:10
TNTConcept,com.autentia.tnt.bean.billing,6,831,807,4,83,other:5|test:1
TNTConcept,com.autentia.tnt.bean.book,1,99,99,0,13,other:1
TNTConcept,com.autentia.tnt.bean.bulletin,3,206,206,0,29,other:3
TNTConcept,com.autentia.tnt.bean.commissionings,1,284,271,0,35,other:1
TNTConcept,com.autentia.tnt.bean.contacts,14,1358,1354,2,243,other:12|test:2
TNTConcept,com.autentia.tnt.bean.document,2,186,186,1,19,other:2
TNTConcept,com.autentia.tnt.bean.error,1,9,8,0,3,exception:1
TNTConcept,com.autentia.tnt.bean.holiday,4,286,283,0,53,other:4
TNTConcept,com.autentia.tnt.bean.occupation,4,34,32,0,23,other:4
TNTConcept,com.autentia.tnt.bean.publish,3,247,247,0,26,other:3
TNTConcept,com.autentia.tnt.bean.reports,12,94,80,1,43,other:12
TNTConcept,com.autentia.tnt.bean.util,3,16,16,3,2,utility:3
TNTConcept,com.autentia.tnt.businessobject,104,2138,1945,720,86,other:96|test:8
TNTConcept,com.autentia.tnt.converter,8,27,24,0,3,other:7|test:1
TNTConcept,com.autentia.tnt.dao,7,23,22,506,0,repository:7
TNTConcept,com.autentia.tnt.dao.hibernate,130,1401,1319,150,674,repository:68|test:62
TNTConcept,com.autentia.tnt.dao.search,61,3979,3709,206,142,repository:61
TNTConcept,com.autentia.tnt.dto,1,24,24,1,0,other:1
TNTConcept,com.autentia.tnt.error,1,4,4,3,0,exception:1
TNTConcept,com.autentia.tnt.filter,2,6,6,0,1,other:2
TNTConcept,com.autentia.tnt.jsf.schedule.renderer,8,62,23,1,14,other:8
TNTConcept,com.autentia.tnt.listener,1,2,2,0,3,event:1
TNTConcept,com.autentia.tnt.mail,3,22,15,14,1,other:2|test:1
TNTConcept,com.autentia.tnt.manager.account,6,64,51,14,38,other:6
TNTConcept,com.autentia.tnt.manager.activity,7,56,46,12,39,other:6|test:1
TNTConcept,com.autentia.tnt.manager.admin,16,182,146,72,108,other:16
TNTConcept,com.autentia.tnt.manager.bill,1,11,4,0,3,test:1
TNTConcept,com.autentia.tnt.manager.billing,9,102,80,12,70,other:9
TNTConcept,com.autentia.tnt.manager.book,1,10,8,1,7,other:1
TNTConcept,com.autentia.tnt.manager.bulletin,3,33,27,4,21,other:3
TNTConcept,com.autentia.tnt.manager.commissioning,3,39,25,1,23,other:3
TNTConcept,com.autentia.tnt.manager.contacts,13,146,115,48,99,other:13
TNTConcept,com.autentia.tnt.manager.contacts.advancedsearch,2,34,31,6,5,other:2
TNTConcept,com.autentia.tnt.manager.data.exception,1,6,6,0,0,exception:1
TNTConcept,com.autentia.tnt.manager.document,3,31,25,8,20,other:3
TNTConcept,com.autentia.tnt.manager.holiday,5,60,40,11,31,other:4|test:1
TNTConcept,com.autentia.tnt.manager.offer,1,10,2,0,14,test:1
TNTConcept,com.autentia.tnt.manager.publish,3,30,24,4,19,other:3
TNTConcept,com.autentia.tnt.manager.report,3,51,47,13,3,other:3
TNTConcept,com.autentia.tnt.manager.security,22,127,104,103,42,other:15|test:7
TNTConcept,com.autentia.tnt.manager.security.exception,2,12,12,4,0,exception:2
TNTConcept,com.autentia.tnt.manager.security.impl.fixed,10,54,41,2,20,other:10
TNTConcept,com.autentia.tnt.manager.tags,1,14,10,5,12,other:1
TNTConcept,com.autentia.tnt.manager.workflow,4,48,48,7,0,other:4
TNTConcept,com.autentia.tnt.report,14,49,22,2,11,other:12|test:2
TNTConcept,com.autentia.tnt.servlet,8,39,12,1,13,controller:6|test:2
TNTConcept,com.autentia.tnt.tag,6,51,51,0,0,other:6
TNTConcept,com.autentia.tnt.test.utils,25,168,158,106,40,test:25
TNTConcept,com.autentia.tnt.tracking,4,55,52,15,3,other:4
TNTConcept,com.autentia.tnt.tracking.annotation,2,6,1,1,2,other:2
TNTConcept,com.autentia.tnt.tracking.exception,1,4,4,1,0,exception:1
TNTConcept,com.autentia.tnt.tracking.hibernate.dao,1,7,7,5,5,repository:1
TNTConcept,com.autentia.tnt.tracking.hibernate.listener,3,3,3,0,6,event:3
TNTConcept,com.autentia.tnt.tracking.mail,1,10,4,0,4,other:1
TNTConcept,com.autentia.tnt.upload,2,1,1,73,1,other:2
TNTConcept,com.autentia.tnt.upload.impl,3,17,12,2,6,other:2|test:1
TNTConcept,com.autentia.tnt.util,15,151,139,415,18,test:1|utility:14
TNTConcept,com.autentia.tnt.validator,13,22,18,0,21,other:13
TNTConcept,com.autentia.tnt.version,1,15,15,2,1,other:1
TNTConcept,com.autentia.tnt.xml,4,36,36,5,1,other:4
TNTConcept,org.apache.myfaces.custom.schedule,1,38,38,9,0,other:1
