project,module,source_set,source_root,file,package,type_name,type_kind,role,line_count,effective_line_count,method_count,public_method_count,import_count,internal_import_count,external_import_count,has_main_method,is_entrypoint,entrypoint_reasons,annotations
acmeair,acmeair-monolithic-java,main,systems/acmeair/acmeair-monolithic-java/src/main/java,systems/acmeair/acmeair-monolithic-java/src/main/java/com/acmeair/AcmeAirConstants.java,com.acmeair,AcmeAirConstants,interface,other,6,3,0,0,0,0,0,False,False,,
acmeair,acmeair-monolithic-java,main,systems/acmeair/acmeair-monolithic-java/src/main/java,systems/acmeair/acmeair-monolithic-java/src/main/java/com/acmeair/AirportCodeMapping.java,com.acmeair,AirportCodeMapping,class,other,55,26,9,9,0,0,0,False,False,,
acmeair,acmeair-monolithic-java,main,systems/acmeair/acmeair-monolithic-java/src/main/java,systems/acmeair/acmeair-monolithic-java/src/main/java/com/acmeair/config/AcmeAirConfiguration.java,com.acmeair.config,AcmeAirConfiguration,class,controller,170,138,10,10,13,4,9,False,True,http-entrypoint,Path|Inject|Inject|Inject|Inject|GET|Path|Produces|GET|Path|Produces|GET|Path|Produces|GET|Path|Produces|GET|Path|Produces|GET|Path|Produces|GET|Path|Produces|GET|Path|Produces
acmeair,acmeair-monolithic-java,main,systems/acmeair/acmeair-monolithic-java/src/main/java,systems/acmeair/acmeair-monolithic-java/src/main/java/com/acmeair/config/LoaderREST.java,com.acmeair.config,LoaderREST,class,controller,44,28,1,1,8,1,7,False,True,http-entrypoint,Path|Inject|GET|Path|Produces|GET|Path|Produces
acmeair,acmeair-monolithic-java,main,systems/acmeair/acmeair-monolithic-java/src/main/java,systems/acmeair/acmeair-monolithic-java/src/main/java/com/acmeair/loader/BookingLoader.java,com.acmeair.loader,BookingLoader,class,other,34,12,1,1,3,1,2,False,False,,ApplicationScoped|Inject
acmeair,acmeair-monolithic-java,main,systems/acmeair/acmeair-monolithic-java/src/main/java,systems/acmeair/acmeair-monolithic-java/src/main/java/com/acmeair/loader/CustomerLoader.java,com.acmeair.loader,CustomerLoader,class,other,44,19,2,2,3,1,2,False,False,,ApplicationScoped|Inject
acmeair,acmeair-monolithic-java,main,systems/acmeair/acmeair-monolithic-java/src/main/java,systems/acmeair/acmeair-monolithic-java/src/main/java/com/acmeair/loader/FlightLoader.java,com.acmeair.loader,FlightLoader,class,other,140,102,4,2,8,2,6,False,False,,ApplicationScoped|Inject
acmeair,acmeair-monolithic-java,main,systems/acmeair/acmeair-monolithic-java/src/main/java,systems/acmeair/acmeair-monolithic-java/src/main/java/com/acmeair/loader/Loader.java,com.acmeair.loader,Loader,class,other,327,175,15,7,7,0,7,True,True,main-method,ApplicationScoped|Inject|Inject|Inject|Inject
acmeair,acmeair-monolithic-java,main,systems/acmeair/acmeair-monolithic-java/src/main/java,systems/acmeair/acmeair-monolithic-java/src/main/java/com/acmeair/loader/SessionLoader.java,com.acmeair.loader,SessionLoader,class,other,32,12,1,1,3,1,2,False,False,,ApplicationScoped|Inject
acmeair,acmeair-monolithic-java,main,systems/acmeair/acmeair-monolithic-java/src/main/java,systems/acmeair/acmeair-monolithic-java/src/main/java/com/acmeair/mongo/ConnectionManager.java,com.acmeair.mongo,ConnectionManager,class,persistence,120,94,4,2,11,0,11,False,False,,
