project,source_package,target_package,category,count
acmeair,com.acmeair.web,jakarta.ws.rs,external,28
acmeair,com.acmeair.mongo.services,com.mongodb.client,external,10
acmeair,com.acmeair.config,jakarta.ws.rs,external,8
acmeair,com.acmeair.mongo.services,com.acmeair.mongo,internal,8
acmeair,com.acmeair.mongo.services,com.acmeair.service,internal,7
acmeair,com.acmeair.mongo.services,java.util,external,7
acmeair,com.acmeair.web,com.acmeair.service,internal,7
acmeair,com.acmeair.web.dto,jakarta.xml.bind.annotation,external,7
acmeair,com.acmeair.loader,java.io,external,6
acmeair,com.acmeair.service,java.util,external,6
acmeair,com.acmeair.service,org.json.simple.parser,external,6
acmeair,com.acmeair.web,jakarta.servlet,external,6
acmeair,it.com.prims,org.junit,external,6
acmeair,com.acmeair.loader,jakarta.enterprise.context,external,5
acmeair,com.acmeair.loader,jakarta.inject,external,5
acmeair,com.acmeair.web,jakarta.inject,external,5
acmeair,com.acmeair.web,jakarta.ws.rs.core,external,5
acmeair,com.acmeair.config,com.acmeair.service,internal,4
acmeair,com.acmeair.loader,com.acmeair.service,internal,4
acmeair,com.acmeair.mongo,com.mongodb,external,4
acmeair,com.acmeair.mongo.services,com.mongodb.client.model.Filters,external,4
acmeair,com.acmeair.mongo.services,jakarta.annotation,external,4
acmeair,com.acmeair.mongo.services,jakarta.enterprise.context,external,4
acmeair,com.acmeair.mongo.services,org.bson,external,4
acmeair,com.acmeair.util,java.net,external,4
acmeair,com.acmeair.web,jakarta.servlet.http,external,4
acmeair,it.com.prims,javax.ws.rs.client,external,4
acmeair,it.com.prims,javax.ws.rs.core,external,4
acmeair,com.acmeair.config,jakarta.json,external,3
acmeair,com.acmeair.mongo,org.json.simple,external,3
acmeair,com.acmeair.mongo.services,java.util.logging,external,3
acmeair,com.acmeair.service,org.json.simple,external,3
acmeair,com.acmeair.util,java.io,external,3
acmeair,com.acmeair.web,java.util,external,3
acmeair,it.com.prims,de.flapdoodle.embed.mongo,external,3
acmeair,it.com.prims,de.flapdoodle.embed.mongo.config,external,3
acmeair,com.acmeair.config,jakarta.inject,external,2
acmeair,com.acmeair.config,jakarta.ws.rs.core,external,2
acmeair,com.acmeair.loader,java.util,external,2
acmeair,com.acmeair.mongo.services,com.mongodb.client.model.Updates,external,2
acmeair,com.acmeair.mongo.services,jakarta.inject,external,2
acmeair,com.acmeair.mongo.services,org.json.simple.parser,external,2
acmeair,com.acmeair.service,jakarta.inject,external,2
acmeair,com.acmeair.service,java.util.logging,external,2
acmeair,com.acmeair.util,jakarta.servlet,external,2
acmeair,com.acmeair.util,org.json.simple,external,2
acmeair,com.acmeair.web,java.time,external,2
acmeair,com.acmeair.web,java.util.logging,external,2
acmeair,com.acmeair.web,org.json.simple,external,2
acmeair,com.acmeair.web.dto,java.io,external,2
acmeair,it.com.prims,de.flapdoodle.embed.mongo.distribution,external,2
acmeair,com.acmeair.config,com.acmeair.loader,internal,1
acmeair,com.acmeair.config,java.util.logging,external,1
acmeair,com.acmeair.loader,com.acmeair,internal,1
acmeair,com.acmeair.loader,java.util.logging,external,1
acmeair,com.acmeair.mongo,com.acmeair,internal,1
acmeair,com.acmeair.mongo,com.mongodb.client,external,1
acmeair,com.acmeair.mongo,java.util,external,1
acmeair,com.acmeair.mongo,java.util.concurrent.atomic,external,1
acmeair,com.acmeair.mongo,java.util.logging,external,1
acmeair,com.acmeair.mongo.services,com.acmeair,internal,1
acmeair,com.acmeair.mongo.services,com.acmeair.web.dto,internal,1
acmeair,com.acmeair.mongo.services,com.mongodb,external,1
acmeair,com.acmeair.mongo.services,org.json.simple,external,1
acmeair,com.acmeair.service,com.acmeair,internal,1
acmeair,com.acmeair.service,com.acmeair.web.dto,internal,1
acmeair,com.acmeair.service,jakarta.enterprise.context,external,1
acmeair,com.acmeair.service,java.util.concurrent,external,1
acmeair,com.acmeair.util,java.nio.charset,external,1
acmeair,com.acmeair.util,org.json.simple.parser,external,1
acmeair,com.acmeair.web,com.acmeair.web.dto,internal,1
acmeair,com.acmeair.web,jakarta.ws.rs.core.Response,external,1
acmeair,com.acmeair.web,java.io,external,1
acmeair,com.acmeair.web,java.time.format,external,1
acmeair,it.com.prims,de.flapdoodle.embed.process.distribution,external,1
acmeair,it.com.prims,de.flapdoodle.embed.process.runtime,external,1
acmeair,it.com.prims,java.io,external,1
acmeair,it.com.prims,java.net,external,1
acmeair,it.com.prims,java.time,external,1
acmeair,it.com.prims,java.time.format,external,1
acmeair,it.com.prims,javax.ws.rs.core.Response,external,1
acmeair,it.com.prims,org.apache.cxf.jaxrs.provider.jsrjsonp,external,1
acmeair,it.com.prims,org.hamcrest.CoreMatchers,external,1
acmeair,it.com.prims,org.hamcrest.MatcherAssert,external,1
acmeair,it.com.prims,org.json.simple.parser,external,1
acmeair,it.com.prims,org.junit.Assert,external,1
acmeair,it.com.prims,org.junit.runners,external,1
