project,module,source_set,source_root,file,package,type_name,type_kind,role,line_count,effective_line_count,method_count,public_method_count,import_count,internal_import_count,external_import_count,has_main_method,is_entrypoint,entrypoint_reasons,annotations
cargo-tracker,.,other-java,systems/cargo-tracker/src/main/java/net/java,systems/cargo-tracker/src/main/java/net/java/cargotracker/application/ApplicationEvents.java,net.java.cargotracker.application,ApplicationEvents,interface,service,22,10,0,0,3,3,0,False,False,,
cargo-tracker,.,other-java,systems/cargo-tracker/src/main/java/net/java,systems/cargo-tracker/src/main/java/net/java/cargotracker/application/BookingService.java,net.java.cargotracker.application,BookingService,interface,service,30,12,0,0,5,3,2,False,False,,
cargo-tracker,.,other-java,systems/cargo-tracker/src/main/java/net/java,systems/cargo-tracker/src/main/java/net/java/cargotracker/application/CargoInspectionService.java,net.java.cargotracker.application,CargoInspectionService,interface,service,15,7,0,0,2,1,1,False,False,,NotNull
cargo-tracker,.,other-java,systems/cargo-tracker/src/main/java/net/java,systems/cargo-tracker/src/main/java/net/java/cargotracker/application/HandlingEventService.java,net.java.cargotracker.application,HandlingEventService,interface,service,21,14,0,0,6,5,1,False,False,,
cargo-tracker,.,other-java,systems/cargo-tracker/src/main/java/net/java,systems/cargo-tracker/src/main/java/net/java/cargotracker/application/internal/DefaultBookingService.java,net.java.cargotracker.application.internal,DefaultBookingService,class,service,89,71,4,4,17,10,7,False,False,,Stateless|Inject|Inject|Inject|Override|Override|Override|Override
cargo-tracker,.,other-java,systems/cargo-tracker/src/main/java/net/java,systems/cargo-tracker/src/main/java/net/java/cargotracker/application/internal/DefaultCargoInspectionService.java,net.java.cargotracker.application.internal,DefaultCargoInspectionService,class,service,60,47,1,1,13,8,5,False,False,,Stateless|Inject|Inject|Inject|Inject|CargoInspected|Override
cargo-tracker,.,other-java,systems/cargo-tracker/src/main/java/net/java,systems/cargo-tracker/src/main/java/net/java/cargotracker/application/internal/DefaultHandlingEventService.java,net.java.cargotracker.application.internal,DefaultHandlingEventService,class,service,51,36,1,1,13,9,4,False,False,,Stateless|Inject|Inject|Inject|Override
cargo-tracker,.,other-java,systems/cargo-tracker/src/main/java/net/java,systems/cargo-tracker/src/main/java/net/java/cargotracker/application/util/DateUtil.java,net.java.cargotracker.application.util,DateUtil,class,service,58,40,8,6,4,0,4,False,False,,
cargo-tracker,.,other-java,systems/cargo-tracker/src/main/java/net/java,systems/cargo-tracker/src/main/java/net/java/cargotracker/application/util/JsonMoxyConfigurationContextResolver.java,net.java.cargotracker.application.util,JsonMoxyConfigurationContextResolver,class,service,25,19,1,1,5,0,5,False,False,,Provider|Override
cargo-tracker,.,other-java,systems/cargo-tracker/src/main/java/net/java,systems/cargo-tracker/src/main/java/net/java/cargotracker/application/util/LocationUtil.java,net.java.cargotracker.application.util,LocationUtil,class,service,147,125,6,6,3,0,3,False,False,,
