project,source_package,target_package,category,count
cargo-tracker,net.java.cargotracker.domain.model.cargo,javax.persistence,external,44
cargo-tracker,net.java.cargotracker.domain.model.voyage,javax.persistence,external,21
cargo-tracker,net.java.cargotracker.application,net.java.cargotracker.domain.model.cargo,internal,20
cargo-tracker,net.java.cargotracker.infrastructure.messaging.jms,javax.jms,external,19
cargo-tracker,net.java.cargotracker.domain.model.cargo,java.util,external,17
cargo-tracker,net.java.cargotracker.interfaces.handling.file,java.io,external,14
cargo-tracker,net.java.cargotracker.application,net.java.cargotracker.domain.model.handling,internal,13
cargo-tracker,net.java.cargotracker.domain.model.voyage,java.util,external,13
cargo-tracker,net.java.cargotracker.interfaces.booking.web,javax.inject,external,13
cargo-tracker,net.java.cargotracker.domain.model.handling,java.util,external,12
cargo-tracker,net.java.cargotracker.domain.model.handling,javax.persistence,external,12
cargo-tracker,net.java.cargotracker.domain.model.handling,net.java.cargotracker.domain.model.cargo,internal,12
cargo-tracker,net.java.cargotracker.domain.model.voyage,net.java.cargotracker.domain.model.location.SampleLocations,external,12
cargo-tracker,net.java.cargotracker.interfaces.booking.web,java.util,external,11
cargo-tracker,net.java.cargotracker.interfaces.booking.web,net.java.cargotracker.interfaces.booking.facade.dto,internal,11
cargo-tracker,net.java.cargotracker.application,java.util,external,10
cargo-tracker,net.java.cargotracker.application,net.java.cargotracker.domain.model.voyage,internal,10
cargo-tracker,net.java.cargotracker.domain.model.cargo,net.java.cargotracker.domain.model.location,internal,10
cargo-tracker,net.java.cargotracker.infrastructure.messaging.jms,java.util.logging,external,10
cargo-tracker,net.java.cargotracker.infrastructure.messaging.jms,javax.ejb,external,10
cargo-tracker,net.java.cargotracker.application,net.java.cargotracker.domain.model.location,internal,9
cargo-tracker,net.java.cargotracker.application.internal,net.java.cargotracker.domain.model.cargo,internal,9
cargo-tracker,net.java.cargotracker.application.util,java.util,external,9
cargo-tracker,net.java.cargotracker.domain.model.cargo,net.java.cargotracker.domain.model.handling,internal,9
cargo-tracker,net.java.cargotracker.domain.model.cargo,net.java.cargotracker.domain.model.voyage,internal,9
cargo-tracker,net.java.cargotracker.infrastructure.persistence.jpa,javax.persistence,external,9
cargo-tracker,net.java.cargotracker.scenario,net.java.cargotracker.domain.model.cargo,internal,9
cargo-tracker,net.java.cargotracker.domain.model.cargo,java.io,external,8
cargo-tracker,net.java.cargotracker.domain.model.cargo,org.apache.commons.lang3.builder,external,8
cargo-tracker,net.java.cargotracker.domain.model.handling,net.java.cargotracker.domain.model.voyage,internal,8
cargo-tracker,net.java.cargotracker.infrastructure.routing,net.java.cargotracker.domain.model.cargo,internal,8
cargo-tracker,net.java.cargotracker.domain.model.cargo,org.apache.commons.lang3,external,7
cargo-tracker,net.java.cargotracker.domain.model.handling,net.java.cargotracker.domain.model.location,internal,7
cargo-tracker,net.java.cargotracker.domain.model.location,javax.persistence,external,7
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.dto,java.util,external,7
cargo-tracker,net.java.cargotracker.interfaces.handling.file,javax.inject,external,7
cargo-tracker,net.java.cargotracker.application,net.java.cargotracker.domain.shared,internal,6
cargo-tracker,net.java.cargotracker.application.internal,net.java.cargotracker.domain.model.handling,internal,6
cargo-tracker,net.java.cargotracker.domain.model.cargo,org.junit.Assert,external,6
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.internal.assembler,java.util,external,6
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.internal.assembler,net.java.cargotracker.domain.model.cargo,internal,6
cargo-tracker,net.java.cargotracker.interfaces.booking.web,net.java.cargotracker.interfaces.booking.facade,internal,6
cargo-tracker,net.java.cargotracker.interfaces.handling.file,java.util,external,6
cargo-tracker,net.java.cargotracker.interfaces.handling.file,java.util.logging,external,6
cargo-tracker,net.java.cargotracker.interfaces.tracking.web,java.util,external,6
cargo-tracker,net.java.cargotracker.interfaces.tracking.web,net.java.cargotracker.domain.model.cargo,internal,6
cargo-tracker,net.java.cargotracker.application.internal,java.util.logging,external,5
cargo-tracker,net.java.cargotracker.application.internal,net.java.cargotracker.application,internal,5
cargo-tracker,net.java.cargotracker.application.util,net.java.cargotracker.domain.model.cargo,internal,5
cargo-tracker,net.java.cargotracker.application.util,net.java.cargotracker.domain.model.handling,internal,5
cargo-tracker,net.java.cargotracker.domain.model.voyage,javax.validation.constraints,external,5
cargo-tracker,net.java.cargotracker.infrastructure.persistence.jpa,net.java.cargotracker.domain.model.cargo,internal,5
cargo-tracker,net.java.cargotracker.interfaces.booking.web,java.io,external,5
cargo-tracker,net.java.cargotracker.application,javax.ejb,external,4
cargo-tracker,net.java.cargotracker.application,javax.persistence,external,4
cargo-tracker,net.java.cargotracker.application,net.java.cargotracker.infrastructure.persistence.jpa,internal,4
cargo-tracker,net.java.cargotracker.application,net.java.pathfinder.api,internal,4
cargo-tracker,net.java.cargotracker.application.internal,java.util,external,4
cargo-tracker,net.java.cargotracker.application.internal,net.java.cargotracker.domain.model.location,internal,4
cargo-tracker,net.java.cargotracker.application.util,javax.ejb,external,4
cargo-tracker,net.java.cargotracker.domain.model.cargo,javax.inject,external,4
cargo-tracker,net.java.cargotracker.domain.model.cargo,javax.validation.constraints,external,4
cargo-tracker,net.java.cargotracker.domain.model.voyage,java.io,external,4
cargo-tracker,net.java.cargotracker.domain.model.voyage,org.apache.commons.lang3,external,4
cargo-tracker,net.java.cargotracker.infrastructure.persistence.jpa,java.io,external,4
cargo-tracker,net.java.cargotracker.infrastructure.persistence.jpa,java.util,external,4
cargo-tracker,net.java.cargotracker.infrastructure.persistence.jpa,javax.enterprise.context,external,4
cargo-tracker,net.java.cargotracker.infrastructure.persistence.jpa,net.java.cargotracker.domain.model.location,internal,4
cargo-tracker,net.java.cargotracker.infrastructure.routing,java.util,external,4
cargo-tracker,net.java.cargotracker.infrastructure.routing,net.java.cargotracker.domain.model.location,internal,4
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.dto,java.io,external,4
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.internal,net.java.cargotracker.domain.model.cargo,internal,4
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.internal.assembler,net.java.cargotracker.domain.model.location,internal,4
cargo-tracker,net.java.cargotracker.interfaces.booking.web,javax.faces.view,external,4
cargo-tracker,net.java.cargotracker.interfaces.booking.web,org.primefaces.model,external,4
cargo-tracker,net.java.cargotracker.interfaces.handling.file,javax.enterprise.context,external,4
cargo-tracker,net.java.cargotracker.scenario,net.java.cargotracker.application,internal,4
cargo-tracker,net.java.cargotracker.scenario,net.java.cargotracker.domain.model.handling,internal,4
cargo-tracker,net.java.cargotracker.scenario,net.java.cargotracker.domain.model.location,internal,4
cargo-tracker,net.java.cargotracker.scenario,net.java.cargotracker.domain.model.voyage,internal,4
cargo-tracker,net.java.pathfinder.api,java.util,external,4
cargo-tracker,net.java.pathfinder.api,javax.ws.rs,external,4
cargo-tracker,net.java.pathfinder.internal,java.util,external,4
cargo-tracker,net.java.cargotracker.application,net.java.cargotracker.application.util,internal,3
cargo-tracker,net.java.cargotracker.application,org.junit.Assert,external,3
cargo-tracker,net.java.cargotracker.application.internal,javax.ejb,external,3
cargo-tracker,net.java.cargotracker.application.internal,javax.inject,external,3
cargo-tracker,net.java.cargotracker.domain.model.cargo,java.text,external,3
cargo-tracker,net.java.cargotracker.domain.model.cargo,net.java.cargotracker.domain.shared,internal,3
cargo-tracker,net.java.cargotracker.domain.model.cargo,org.junit,external,3
cargo-tracker,net.java.cargotracker.domain.model.location,javax.validation.constraints,external,3
cargo-tracker,net.java.cargotracker.domain.model.voyage,net.java.cargotracker.domain.model.location,internal,3
cargo-tracker,net.java.cargotracker.domain.model.voyage,org.apache.commons.lang3.builder,external,3
cargo-tracker,net.java.cargotracker.infrastructure.messaging.jms,javax.inject,external,3
cargo-tracker,net.java.cargotracker.infrastructure.messaging.jms,net.java.cargotracker.application,internal,3
cargo-tracker,net.java.cargotracker.infrastructure.persistence.jpa,net.java.cargotracker.domain.model.handling,internal,3
cargo-tracker,net.java.cargotracker.infrastructure.persistence.jpa,net.java.cargotracker.domain.model.voyage,internal,3
cargo-tracker,net.java.cargotracker.infrastructure.routing,javax.ws.rs.client,external,3
cargo-tracker,net.java.cargotracker.infrastructure.routing,net.java.cargotracker.domain.model.voyage,internal,3
cargo-tracker,net.java.cargotracker.interfaces.booking.facade,net.java.cargotracker.interfaces.booking.facade.dto,internal,3
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.dto,net.java.cargotracker.application.util,internal,3
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.internal,java.util,external,3
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.internal,net.java.cargotracker.domain.model.location,internal,3
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.internal,net.java.cargotracker.interfaces.booking.facade.internal.assembler,internal,3
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.internal.assembler,net.java.cargotracker.domain.model.voyage,internal,3
cargo-tracker,net.java.cargotracker.interfaces.booking.rest,javax.json,external,3
cargo-tracker,net.java.cargotracker.interfaces.booking.rest,javax.ws.rs,external,3
cargo-tracker,net.java.cargotracker.interfaces.booking.socket,java.io,external,3
cargo-tracker,net.java.cargotracker.interfaces.booking.socket,javax.websocket,external,3
cargo-tracker,net.java.cargotracker.interfaces.booking.web,javax.annotation,external,3
cargo-tracker,net.java.cargotracker.interfaces.booking.web,javax.enterprise.context,external,3
cargo-tracker,net.java.cargotracker.interfaces.handling.file,javax.batch.runtime.context,external,3
cargo-tracker,net.java.cargotracker.interfaces.handling.mobile,java.util,external,3
cargo-tracker,net.java.cargotracker.interfaces.handling.mobile,javax.enterprise.context,external,3
cargo-tracker,net.java.cargotracker.interfaces.handling.mobile,javax.inject,external,3
cargo-tracker,net.java.cargotracker.interfaces.handling.mobile,net.java.cargotracker.domain.model.voyage,internal,3
cargo-tracker,net.java.cargotracker.interfaces.handling.rest,javax.validation.constraints,external,3
cargo-tracker,net.java.cargotracker.interfaces.handling.rest,javax.ws.rs,external,3
cargo-tracker,net.java.cargotracker.interfaces.tracking.web,net.java.cargotracker.domain.model.handling,internal,3
cargo-tracker,net.java.cargotracker.interfaces.tracking.web,org.primefaces.model.map,external,3
cargo-tracker,net.java.cargotracker.scenario,java.util,external,3
cargo-tracker,net.java.cargotracker.application,net.java.cargotracker.application.internal,internal,2
cargo-tracker,net.java.cargotracker.application,org.jboss.arquillian.junit,external,2
cargo-tracker,net.java.cargotracker.application.util,java.text,external,2
cargo-tracker,net.java.cargotracker.application.util,javax.persistence,external,2
cargo-tracker,net.java.cargotracker.application.util,javax.ws.rs.ext,external,2
cargo-tracker,net.java.cargotracker.application.util,org.glassfish.jersey.moxy.json,external,2
cargo-tracker,net.java.cargotracker.application.util,org.glassfish.jersey.server,external,2
cargo-tracker,net.java.cargotracker.domain.model.cargo,javax.faces.context,external,2
cargo-tracker,net.java.cargotracker.domain.model.cargo,net.java.cargotracker.application.util,internal,2
cargo-tracker,net.java.cargotracker.domain.model.cargo,net.java.cargotracker.interfaces.booking.facade.dto,internal,2
