project,package,class_count,method_count,public_method_count,incoming_internal_dependencies,outgoing_internal_dependencies,roles
cargo-tracker,net.java.cargotracker.application,8,14,9,16,75,service:8
cargo-tracker,net.java.cargotracker.application.internal,3,6,6,2,27,service:3
cargo-tracker,net.java.cargotracker.application.util,5,22,16,11,15,service:5
cargo-tracker,net.java.cargotracker.domain.model.cargo,15,156,127,95,36,domain:15
cargo-tracker,net.java.cargotracker.domain.model.handling,10,56,49,49,29,domain:10
cargo-tracker,net.java.cargotracker.domain.model.location,4,19,18,58,0,domain:4
cargo-tracker,net.java.cargotracker.domain.model.voyage,6,44,39,50,3,domain:6
cargo-tracker,net.java.cargotracker.domain.service,1,0,0,4,2,service:1
cargo-tracker,net.java.cargotracker.domain.shared,6,15,13,10,0,domain:6
cargo-tracker,net.java.cargotracker.infrastructure.events.cdi,1,0,0,2,0,event:1
cargo-tracker,net.java.cargotracker.infrastructure.messaging.jms,6,9,9,0,9,other:6
cargo-tracker,net.java.cargotracker.infrastructure.persistence.jpa,4,11,11,4,15,persistence:4
cargo-tracker,net.java.cargotracker.infrastructure.routing,2,5,3,1,19,other:2
cargo-tracker,net.java.cargotracker.interfaces.booking.facade,1,0,0,9,3,other:1
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.dto,4,47,47,21,3,other:4
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.internal,1,7,7,0,15,other:1
cargo-tracker,net.java.cargotracker.interfaces.booking.facade.internal.assembler,3,7,6,3,15,other:3
cargo-tracker,net.java.cargotracker.interfaces.booking.rest,1,3,3,1,2,controller:1
cargo-tracker,net.java.cargotracker.interfaces.booking.socket,1,3,3,0,2,other:1
cargo-tracker,net.java.cargotracker.interfaces.booking.web,8,62,62,1,17,controller:8
cargo-tracker,net.java.cargotracker.interfaces.handling,1,9,9,7,4,other:1
cargo-tracker,net.java.cargotracker.interfaces.handling.file,7,20,19,0,7,other:7
cargo-tracker,net.java.cargotracker.interfaces.handling.mobile,2,28,27,0,11,other:2
cargo-tracker,net.java.cargotracker.interfaces.handling.rest,2,13,13,1,6,controller:2
cargo-tracker,net.java.cargotracker.interfaces.tracking.web,2,30,29,0,11,controller:2
cargo-tracker,net.java.cargotracker.scenario,1,4,2,0,27,other:1
cargo-tracker,net.java.pathfinder.api,3,25,22,7,1,controller:3
cargo-tracker,net.java.pathfinder.internal,1,2,2,2,0,other:1
