project,module,source_set,source_root,file,package,type_name,type_kind,role,line_count,effective_line_count,method_count,public_method_count,import_count,internal_import_count,external_import_count,has_main_method,is_entrypoint,entrypoint_reasons,annotations
daytrader7,sample.daytrader7/daytrader-ee7-ejb,main,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/beans/MarketSummaryDataBean.java,com.ibm.websphere.samples.daytrader.beans,MarketSummaryDataBean,class,controller,287,156,22,22,13,4,9,False,False,,Override
daytrader7,sample.daytrader7/daytrader-ee7-ejb,main,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/beans/RunStatsDataBean.java,com.ibm.websphere.samples.daytrader.beans,RunStatsDataBean,class,controller,294,99,27,27,1,0,1,False,False,,Override
daytrader7,sample.daytrader7/daytrader-ee7-ejb,main,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/direct/KeySequenceDirect.java,com.ibm.websphere.samples.daytrader.direct,KeySequenceDirect,class,controller,114,72,2,1,9,3,6,False,False,,
daytrader7,sample.daytrader7/daytrader-ee7-ejb,main,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/direct/TradeDirect.java,com.ibm.websphere.samples.daytrader.direct,TradeDirect,class,controller,2120,1439,69,33,34,14,20,False,False,,Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override
daytrader7,sample.daytrader7/daytrader-ee7-ejb,main,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/ejb3/DTBroker3MDB.java,com.ibm.websphere.samples.daytrader.ejb3,DTBroker3MDB,class,controller,161,115,4,3,17,5,12,False,False,,TransactionAttribute|TransactionManagement|MessageDriven|ActivationConfigProperty|ActivationConfigProperty|ActivationConfigProperty|EJB|Resource|Override
daytrader7,sample.daytrader7/daytrader-ee7-ejb,main,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/ejb3/DTStreamer3MDB.java,com.ibm.websphere.samples.daytrader.ejb3,DTStreamer3MDB,class,controller,137,99,3,3,18,5,13,False,False,,TransactionAttribute|TransactionManagement|MessageDriven|ActivationConfigProperty|ActivationConfigProperty|ActivationConfigProperty|Resource|Inject|WebSocketJMSMessage|Override
daytrader7,sample.daytrader7/daytrader-ee7-ejb,main,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/ejb3/MarketSummarySingleton.java,com.ibm.websphere.samples.daytrader.ejb3,MarketSummarySingleton,class,controller,126,89,4,2,19,5,14,False,False,,Singleton|PersistenceContext|PostConstruct|Schedule|Lock|Lock
daytrader7,sample.daytrader7/daytrader-ee7-ejb,main,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/ejb3/TradeSLSBBean.java,com.ibm.websphere.samples.daytrader.ejb3,TradeSLSBBean,class,controller,728,526,31,29,42,12,30,False,False,,Stateless|TransactionAttribute|TransactionManagement|Resource|Resource|Resource|Resource|Resource|Resource|Resource|Resource|Resource|PersistenceContext|Resource|EJB|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|Override|TransactionAttribute|TransactionAttribute|Override|PostConstruct
daytrader7,sample.daytrader7/daytrader-ee7-ejb,main,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/ejb3/TradeSLSBLocal.java,com.ibm.websphere.samples.daytrader.ejb3,TradeSLSBLocal,interface,controller,33,11,0,0,4,2,2,False,False,,Local
daytrader7,sample.daytrader7/daytrader-ee7-ejb,main,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java,systems/daytrader7/sample.daytrader7/daytrader-ee7-ejb/src/main/java/com/ibm/websphere/samples/daytrader/ejb3/TradeSLSBRemote.java,com.ibm.websphere.samples.daytrader.ejb3,TradeSLSBRemote,interface,controller,33,11,0,0,4,2,2,False,False,,Remote
