project,source_package,target_package,category,count
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.servlet.http,external,95
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.servlet,external,81
daytrader7,com.ibm.websphere.samples.daytrader.entities,javax.persistence,external,57
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,java.io,external,49
daytrader7,com.ibm.websphere.samples.daytrader.web.prims.ejb3,javax.servlet.http,external,33
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.servlet.annotation,external,30
daytrader7,com.ibm.websphere.samples.daytrader.ejb3,javax.ejb,external,29
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.websocket,external,28
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,com.ibm.websphere.samples.daytrader.util,internal,24
daytrader7,com.ibm.websphere.samples.daytrader.web.prims.ejb3,javax.servlet,external,23
daytrader7,com.ibm.websphere.samples.daytrader.web.prims.ejb3,com.ibm.websphere.samples.daytrader.util,internal,22
daytrader7,com.ibm.websphere.samples.daytrader.web,javax.servlet,external,20
daytrader7,com.ibm.websphere.samples.daytrader.web,javax.servlet.http,external,18
daytrader7,com.ibm.websphere.samples.daytrader.web,com.ibm.websphere.samples.daytrader.util,internal,16
daytrader7,com.ibm.websphere.samples.daytrader.web.websocket,javax.websocket,external,16
daytrader7,com.ibm.websphere.samples.daytrader.ejb3,com.ibm.websphere.samples.daytrader.util,internal,15
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,javax.inject,external,15
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,com.ibm.websphere.samples.daytrader.util,internal,14
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,java.util,external,13
daytrader7,com.ibm.websphere.samples.daytrader.ejb3,javax.jms,external,12
daytrader7,com.ibm.websphere.samples.daytrader.web,java.io,external,12
daytrader7,com.ibm.websphere.samples.daytrader.web.websocket,javax.json,external,12
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,com.ibm.websphere.samples.daytrader.entities,internal,11
daytrader7,com.ibm.websphere.samples.daytrader.web.prims.ejb3,java.io,external,11
daytrader7,com.ibm.websphere.samples.daytrader,com.ibm.websphere.samples.daytrader.entities,internal,10
daytrader7,com.ibm.websphere.samples.daytrader.direct,java.sql,external,10
daytrader7,com.ibm.websphere.samples.daytrader.entities,com.ibm.websphere.samples.daytrader.util,internal,10
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,javax.servlet.http,external,10
daytrader7,com.ibm.websphere.samples.daytrader.web.prims.ejb3,javax.jms,external,10
daytrader7,com.ibm.websphere.samples.daytrader.web.prims.ejb3,javax.servlet.annotation,external,10
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,java.math,external,9
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,javax.enterprise.context,external,9
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,javax.faces.context,external,9
daytrader7,com.ibm.websphere.samples.daytrader.direct,com.ibm.websphere.samples.daytrader.util,internal,8
daytrader7,com.ibm.websphere.samples.daytrader.ejb3,com.ibm.websphere.samples.daytrader.entities,internal,8
daytrader7,com.ibm.websphere.samples.daytrader.util,java.util,external,8
daytrader7,com.ibm.websphere.samples.daytrader.web,java.util,external,8
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,com.ibm.websphere.samples.daytrader,internal,8
daytrader7,com.ibm.websphere.samples.daytrader.web.prims.ejb3,com.ibm.websphere.samples.daytrader.ejb3,internal,8
daytrader7,com.ibm.websphere.samples.daytrader.web.prims.ejb3,javax.ejb,external,8
daytrader7,com.ibm.websphere.samples.daytrader.web,com.ibm.websphere.samples.daytrader.entities,internal,7
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,javax.servlet,external,7
daytrader7,com.ibm.websphere.samples.daytrader.web.prims.ejb3,com.ibm.websphere.samples.daytrader.entities,internal,7
daytrader7,com.ibm.websphere.samples.daytrader.web.websocket,java.util,external,7
daytrader7,com.ibm.websphere.samples.daytrader.direct,javax.jms,external,6
daytrader7,com.ibm.websphere.samples.daytrader.ejb3,java.util,external,6
daytrader7,com.ibm.websphere.samples.daytrader.ejb3,javax.persistence,external,6
daytrader7,com.ibm.websphere.samples.daytrader.ejb3,javax.persistence.criteria,external,6
daytrader7,com.ibm.websphere.samples.daytrader.web,com.ibm.websphere.samples.daytrader,internal,6
daytrader7,com.ibm.websphere.samples.daytrader.web,javax.servlet.annotation,external,6
daytrader7,com.ibm.websphere.samples.daytrader.direct,com.ibm.websphere.samples.daytrader.entities,internal,5
daytrader7,com.ibm.websphere.samples.daytrader.direct,java.util,external,5
daytrader7,com.ibm.websphere.samples.daytrader.ejb3,javax.annotation,external,5
daytrader7,com.ibm.websphere.samples.daytrader.entities,javax.validation.constraints,external,5
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,javax.annotation,external,5
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.inject,external,5
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.interceptor,external,5
daytrader7,com.ibm.websphere.samples.daytrader,com.ibm.websphere.samples.daytrader.beans,internal,4
daytrader7,com.ibm.websphere.samples.daytrader.beans,java.util,external,4
daytrader7,com.ibm.websphere.samples.daytrader.ejb3,com.ibm.websphere.samples.daytrader,internal,4
daytrader7,com.ibm.websphere.samples.daytrader.ejb3,java.math,external,4
daytrader7,com.ibm.websphere.samples.daytrader.entities,java.io,external,4
daytrader7,com.ibm.websphere.samples.daytrader.entities,java.math,external,4
daytrader7,com.ibm.websphere.samples.daytrader.entities,java.util,external,4
daytrader7,com.ibm.websphere.samples.daytrader.util,java.lang.annotation,external,4
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,com.ibm.websphere.samples.daytrader.direct,internal,4
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,java.lang.annotation,external,4
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,java.net,external,4
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.annotation,external,4
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.websocket.server,external,4
daytrader7,com.ibm.websphere.samples.daytrader.web.prims.ejb3,java.util,external,4
daytrader7,com.ibm.websphere.samples.daytrader.web.prims.ejb3,javax.naming,external,4
daytrader7,com.ibm.websphere.samples.daytrader.web.websocket,com.ibm.websphere.samples.daytrader.util,internal,4
daytrader7,com.ibm.websphere.samples.daytrader.web.websocket,java.util.concurrent,external,4
daytrader7,com.ibm.websphere.samples.daytrader,com.ibm.websphere.samples.daytrader.util,internal,3
daytrader7,com.ibm.websphere.samples.daytrader,org.w3c.dom,external,3
daytrader7,com.ibm.websphere.samples.daytrader.beans,com.ibm.websphere.samples.daytrader.util,internal,3
daytrader7,com.ibm.websphere.samples.daytrader.beans,javax.json,external,3
daytrader7,com.ibm.websphere.samples.daytrader.ejb3,com.ibm.websphere.samples.daytrader.beans,internal,3
daytrader7,com.ibm.websphere.samples.daytrader.web,com.ibm.websphere.samples.daytrader.direct,internal,3
daytrader7,com.ibm.websphere.samples.daytrader.web,java.math,external,3
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,java.io,external,3
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,javax.faces.validator,external,3
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,com.ibm.websphere.samples.daytrader.entities,internal,3
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,com.ibm.websphere.samples.daytrader.web.websocket,internal,3
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.ejb,external,3
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.enterprise.concurrent,external,3
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.enterprise.inject.spi,external,3
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.naming,external,3
daytrader7,com.ibm.websphere.samples.daytrader.web.websocket,java.io,external,3
daytrader7,com.ibm.websphere.samples.daytrader,com.ibm.websphere.samples.daytrader.ejb3,internal,2
daytrader7,com.ibm.websphere.samples.daytrader,java.math,external,2
daytrader7,com.ibm.websphere.samples.daytrader,java.util,external,2
daytrader7,com.ibm.websphere.samples.daytrader,javax.xml.parsers,external,2
daytrader7,com.ibm.websphere.samples.daytrader.beans,java.io,external,2
daytrader7,com.ibm.websphere.samples.daytrader.direct,com.ibm.websphere.samples.daytrader,internal,2
daytrader7,com.ibm.websphere.samples.daytrader.direct,com.ibm.websphere.samples.daytrader.beans,internal,2
daytrader7,com.ibm.websphere.samples.daytrader.util,java.math,external,2
daytrader7,com.ibm.websphere.samples.daytrader.util,java.util.logging,external,2
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,com.ibm.websphere.samples.daytrader.beans,internal,2
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,java.util.regex,external,2
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,javax.enterprise.inject,external,2
daytrader7,com.ibm.websphere.samples.daytrader.web.jsf,javax.faces.component.html,external,2
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,java.util,external,2
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.decorator,external,2
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.enterprise.context,external,2
daytrader7,com.ibm.websphere.samples.daytrader.web.prims,javax.json.stream,external,2
