project,module,source_set,source_root,file,package,type_name,type_kind,role,line_count,effective_line_count,method_count,public_method_count,import_count,internal_import_count,external_import_count,has_main_method,is_entrypoint,entrypoint_reasons,annotations
jpetstore,jpetstore-6,other-java,C:/Users/Renanzin/arquitecture generation tool/systems/jpetstore/jpetstore-6/.mvn/wrapper,systems/jpetstore/jpetstore-6/.mvn/wrapper/MavenWrapperDownloader.java,(default),MavenWrapperDownloader,class,other,95,68,4,1,10,0,10,True,True,main-method,Override
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/domain/Account.java,org.mybatis.jpetstore.domain,Account,class,domain,196,134,36,36,2,0,2,False,False,,Validate|Validate
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/domain/Cart.java,org.mybatis.jpetstore.domain,Cart,class,domain,125,63,10,10,8,0,8,False,False,,
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/domain/CartItem.java,org.mybatis.jpetstore.domain,CartItem,class,domain,76,42,9,8,3,0,3,False,False,,
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/domain/Category.java,org.mybatis.jpetstore.domain,Category,class,domain,62,30,7,7,1,0,1,False,False,,Override
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/domain/Item.java,org.mybatis.jpetstore.domain,Item,class,domain,145,95,25,25,2,0,2,False,False,,Override
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/domain/LineItem.java,org.mybatis.jpetstore.domain,LineItem,class,domain,118,69,18,17,3,0,3,False,False,,
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/domain/Order.java,org.mybatis.jpetstore.domain,Order,class,domain,335,238,57,57,6,0,6,False,False,,
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/domain/Product.java,org.mybatis.jpetstore.domain,Product,class,domain,71,37,9,9,1,0,1,False,False,,Override
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/domain/Sequence.java,org.mybatis.jpetstore.domain,Sequence,class,domain,56,25,8,8,1,0,1,False,False,,
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/mapper/AccountMapper.java,org.mybatis.jpetstore.mapper,AccountMapper,interface,other,43,12,0,0,1,1,0,False,False,,
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/mapper/CategoryMapper.java,org.mybatis.jpetstore.mapper,CategoryMapper,interface,other,33,7,0,0,2,1,1,False,False,,
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/mapper/ItemMapper.java,org.mybatis.jpetstore.mapper,ItemMapper,interface,other,38,10,0,0,3,1,2,False,False,,
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/mapper/LineItemMapper.java,org.mybatis.jpetstore.mapper,LineItemMapper,interface,other,33,7,0,0,2,1,1,False,False,,
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/mapper/OrderMapper.java,org.mybatis.jpetstore.mapper,OrderMapper,interface,other,37,9,0,0,2,1,1,False,False,,
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/mapper/ProductMapper.java,org.mybatis.jpetstore.mapper,ProductMapper,interface,other,35,8,0,0,2,1,1,False,False,,
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/mapper/SequenceMapper.java,org.mybatis.jpetstore.mapper,SequenceMapper,interface,other,30,6,0,0,1,1,0,False,False,,
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/service/AccountService.java,org.mybatis.jpetstore.service,AccountService,class,service,75,32,6,6,5,2,3,False,False,,Service|Transactional|Transactional
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/service/CatalogService.java,org.mybatis.jpetstore.service,CatalogService,class,service,90,49,10,10,9,6,3,False,False,,Service
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/service/OrderService.java,org.mybatis.jpetstore.service,OrderService,class,service,132,69,6,6,12,7,5,False,False,,Service|Transactional|Transactional
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/web/actions/AbstractActionBean.java,org.mybatis.jpetstore.web.actions,AbstractActionBean,class,controller,51,21,3,2,4,0,4,False,False,,Override|Override
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/web/actions/AccountActionBean.java,org.mybatis.jpetstore.web.actions,AccountActionBean,class,controller,208,117,18,18,15,4,11,False,False,,SessionScope|SpringBean|SpringBean|Validate|Validate|DefaultHandler
jpetstore,jpetstore-6,main,systems/jpetstore/jpetstore-6/src/main/java,systems/jpetstore/jpetstore-6/src/main/java/org/mybatis/jpetstore/web/actions/CartActionBean.java,org.mybatis.jpetstore.web.actions,CartActionBean,class,controller,150,84,9,9,10,4,6,False,False,,SessionScope|SpringBean
