project,source_package,target_package,category,count
jpetstore,org.mybatis.jpetstore.web.actions,net.sourceforge.stripes.action,external,20
jpetstore,org.mybatis.jpetstore.mapper,java.util,external,19
jpetstore,org.mybatis.jpetstore.service,org.mybatis.jpetstore.mapper,internal,16
jpetstore,org.mybatis.jpetstore.service,org.mybatis.jpetstore.domain,internal,15
jpetstore,org.mybatis.jpetstore.domain,java.util,external,14
jpetstore,org.mybatis.jpetstore.mapper,org.mybatis.jpetstore.domain,internal,14
jpetstore,org.mybatis.jpetstore.service,java.util,external,12
jpetstore,org.mybatis.jpetstore.web.actions,org.mybatis.jpetstore.domain,internal,11
jpetstore,org.mybatis.jpetstore.domain,java.io,external,9
jpetstore,org.mybatis.jpetstore.web.actions,java.util,external,9
jpetstore,org.mybatis.jpetstore.domain,java.math,external,7
jpetstore,org.mybatis.jpetstore.mapper,org.assertj.core.api.Assertions,external,7
jpetstore,org.mybatis.jpetstore.mapper,org.junit.jupiter.api,external,7
jpetstore,org.mybatis.jpetstore.mapper,org.junit.jupiter.api.extension,external,7
jpetstore,org.mybatis.jpetstore.mapper,org.springframework.beans.factory.annotation,external,7
jpetstore,org.mybatis.jpetstore.mapper,org.springframework.test.context,external,7
jpetstore,org.mybatis.jpetstore.mapper,org.springframework.test.context.junit.jupiter,external,7
jpetstore,org.mybatis.jpetstore.mapper,org.springframework.transaction.annotation,external,7
jpetstore,org.mybatis.jpetstore.mapper,org.springframework.jdbc.core,external,6
jpetstore,org.mybatis.jpetstore.service,org.mockito,external,6
jpetstore,org.mybatis.jpetstore.service,org.mockito.Mockito,external,5
jpetstore,org.mybatis.jpetstore.web.actions,org.junit.jupiter.api,external,5
jpetstore,org.mybatis.jpetstore.web.actions,org.mybatis.jpetstore.service,internal,5
jpetstore,(default),java.net,external,4
jpetstore,org.mybatis.jpetstore,com.codeborne.selenide.Configuration,external,4
jpetstore,org.mybatis.jpetstore.service,org.assertj.core.api.Assertions,external,4
jpetstore,org.mybatis.jpetstore.web.actions,net.sourceforge.stripes.integration.spring,external,4
jpetstore,org.mybatis.jpetstore.web.actions,org.assertj.core.api.Assertions,external,4
jpetstore,(default),java.nio.file,external,3
jpetstore,org.mybatis.jpetstore,com.codeborne.selenide.Condition,external,3
jpetstore,org.mybatis.jpetstore,org.junit.jupiter.api,external,3
jpetstore,org.mybatis.jpetstore.mapper,java.math,external,3
jpetstore,org.mybatis.jpetstore.service,org.junit.jupiter.api,external,3
jpetstore,org.mybatis.jpetstore.service,org.junit.jupiter.api.extension,external,3
jpetstore,org.mybatis.jpetstore.service,org.mockito.junit.jupiter,external,3
jpetstore,org.mybatis.jpetstore.service,org.springframework.stereotype,external,3
jpetstore,org.mybatis.jpetstore.web.actions,javax.servlet.http,external,3
jpetstore,(default),java.io,external,2
jpetstore,org.mybatis.jpetstore,com.codeborne.selenide.Selenide,external,2
jpetstore,org.mybatis.jpetstore,java.util.regex,external,2
jpetstore,org.mybatis.jpetstore.domain,org.assertj.core.api.Assertions,external,2
jpetstore,org.mybatis.jpetstore.domain,org.junit.jupiter.api,external,2
jpetstore,org.mybatis.jpetstore.mapper,java.time,external,2
jpetstore,org.mybatis.jpetstore.mapper,org.springframework.context.annotation,external,2
jpetstore,org.mybatis.jpetstore.mapper,org.springframework.jdbc.datasource.embedded,external,2
jpetstore,org.mybatis.jpetstore.service,org.mockito.ArgumentMatchers,external,2
jpetstore,org.mybatis.jpetstore.service,org.springframework.transaction.annotation,external,2
jpetstore,org.mybatis.jpetstore.web.actions,org.mockito.Mockito,external,2
jpetstore,(default),java.util.concurrent,external,1
jpetstore,org.mybatis.jpetstore,com.codeborne.selenide,external,1
jpetstore,org.mybatis.jpetstore,com.codeborne.selenide.Browsers,external,1
jpetstore,org.mybatis.jpetstore,com.codeborne.selenide.CollectionCondition,external,1
jpetstore,org.mybatis.jpetstore,com.codeborne.selenide.junit5,external,1
jpetstore,org.mybatis.jpetstore,java.util.concurrent,external,1
jpetstore,org.mybatis.jpetstore,org.assertj.core.api.Assertions,external,1
jpetstore,org.mybatis.jpetstore,org.junit.jupiter.api.extension,external,1
jpetstore,org.mybatis.jpetstore,org.openqa.selenium,external,1
jpetstore,org.mybatis.jpetstore.domain,net.sourceforge.stripes.validation,external,1
jpetstore,org.mybatis.jpetstore.mapper,javax.sql,external,1
jpetstore,org.mybatis.jpetstore.mapper,org.mybatis.spring,external,1
jpetstore,org.mybatis.jpetstore.mapper,org.mybatis.spring.annotation,external,1
jpetstore,org.mybatis.jpetstore.mapper,org.springframework.jdbc.datasource,external,1
jpetstore,org.mybatis.jpetstore.mapper,org.springframework.transaction,external,1
jpetstore,org.mybatis.jpetstore.web.actions,java.io,external,1
jpetstore,org.mybatis.jpetstore.web.actions,net.sourceforge.stripes.validation,external,1
