project,module,source_set,source_root,file,package,type_name,type_kind,role,line_count,effective_line_count,method_count,public_method_count,import_count,internal_import_count,external_import_count,has_main_method,is_entrypoint,entrypoint_reasons,annotations
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/application/VisitScheduler.java,org.springframework.samples.petclinic.owner.application,VisitScheduler,class,service,52,24,3,3,7,4,3,False,False,,Service|Transactional
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/domain/Owner.java,org.springframework.samples.petclinic.owner.domain,Owner,class,domain,219,137,20,20,19,0,19,False,False,,Entity|Table|Id|GeneratedValue|Column|NotBlank|Column|NotBlank|Column|NotBlank|Column|NotBlank|Column|NotBlank|Pattern|OneToMany|JoinColumn|OrderBy|Override
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/domain/OwnerRepository.java,org.springframework.samples.petclinic.owner.domain,OwnerRepository,interface,domain,62,9,0,0,4,0,4,False,False,,
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/domain/OwnerRuntimeHints.java,org.springframework.samples.petclinic.owner.domain,OwnerRuntimeHints,class,domain,29,9,1,1,2,0,2,False,False,,Override
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/domain/Pet.java,org.springframework.samples.petclinic.owner.domain,Pet,class,domain,123,78,12,12,19,0,19,False,False,,Entity|Table|Id|GeneratedValue|Column|NotBlank|Column|DateTimeFormat|ManyToOne|JoinColumn|OneToMany|JoinColumn|OrderBy|Override
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/domain/PetType.java,org.springframework.samples.petclinic.owner.domain,PetType,class,domain,71,39,6,6,8,0,8,False,False,,Entity|Table|Id|GeneratedValue|Column|NotBlank|Override
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/domain/PetTypeRepository.java,org.springframework.samples.petclinic.owner.domain,PetTypeRepository,interface,domain,39,8,0,0,3,0,3,False,False,,Query
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/domain/Visit.java,org.springframework.samples.petclinic.owner.domain,Visit,class,domain,87,47,9,9,10,0,10,False,False,,Entity|Table|Id|GeneratedValue|Column|DateTimeFormat|NotBlank
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/ui/OwnerController.java,org.springframework.samples.petclinic.owner.ui,OwnerController,class,controller,178,120,9,7,21,2,19,False,True,http-entrypoint,Controller|InitBinder|ModelAttribute|GetMapping|PostMapping|GetMapping|GetMapping|GetMapping|PostMapping|GetMapping
pet-clinic,spring-petclinic-modulith,main,systems/pet-clinic/spring-petclinic-modulith/src/main/java,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/ui/PetController.java,org.springframework.samples.petclinic.owner.ui,PetController,class,controller,181,122,10,9,19,1,18,False,True,http-entrypoint,Controller|RequestMapping|ModelAttribute|ModelAttribute|ModelAttribute|PathVariable|InitBinder|InitBinder|GetMapping|PostMapping|GetMapping|PostMapping
