project,module,package,type_name,file,entrypoint_reasons
pet-clinic,spring-petclinic-modulith,org.springframework.samples.petclinic,MysqlTestApplication,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java,main-method|application-class
pet-clinic,spring-petclinic-modulith,org.springframework.samples.petclinic,PetClinicApplication,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/PetClinicApplication.java,main-method|application-bootstrap
pet-clinic,spring-petclinic-modulith,org.springframework.samples.petclinic,PetClinicIntegrationTests,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,main-method
pet-clinic,spring-petclinic-modulith,org.springframework.samples.petclinic,PostgresIntegrationTests,systems/pet-clinic/spring-petclinic-modulith/src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java,main-method
pet-clinic,spring-petclinic-modulith,org.springframework.samples.petclinic.owner.ui,OwnerController,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/ui/OwnerController.java,http-entrypoint
pet-clinic,spring-petclinic-modulith,org.springframework.samples.petclinic.owner.ui,PetController,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/ui/PetController.java,http-entrypoint
pet-clinic,spring-petclinic-modulith,org.springframework.samples.petclinic.owner.ui,VisitController,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/owner/ui/VisitController.java,http-entrypoint
pet-clinic,spring-petclinic-modulith,org.springframework.samples.petclinic.system.internal,CrashController,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/system/internal/CrashController.java,http-entrypoint
pet-clinic,spring-petclinic-modulith,org.springframework.samples.petclinic.system.internal,WelcomeController,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/system/internal/WelcomeController.java,http-entrypoint
pet-clinic,spring-petclinic-modulith,org.springframework.samples.petclinic.vet.internal,VetController,systems/pet-clinic/spring-petclinic-modulith/src/main/java/org/springframework/samples/petclinic/vet/internal/VetController.java,http-entrypoint
