project,source_package,target_package,category,count
pet-clinic,org.springframework.samples.petclinic.owner.domain,jakarta.persistence,external,35
pet-clinic,org.springframework.samples.petclinic.owner.ui,java.util,external,23
pet-clinic,org.springframework.samples.petclinic.vet.internal,jakarta.persistence,external,23
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.samples.petclinic.owner.domain,internal,17
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.web.bind.annotation,external,17
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.junit.jupiter.api,external,14
pet-clinic,org.springframework.samples.petclinic.vet.internal,java.util,external,14
pet-clinic,org.springframework.samples.petclinic.owner.domain,java.util,external,10
pet-clinic,org.springframework.samples.petclinic,org.springframework.http,external,9
pet-clinic,org.springframework.samples.petclinic.system.internal,java.util,external,9
pet-clinic,org.springframework.samples.petclinic.owner.application,org.springframework.samples.petclinic.owner.domain,internal,7
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.hamcrest.Matchers,external,7
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.test.web.servlet.result.MockMvcResultMatchers,external,7
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.validation,external,7
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.http,external,7
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.springframework.data.domain,external,7
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.data.domain,external,6
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.test.web.servlet.request.MockMvcRequestBuilders,external,6
pet-clinic,org.springframework.samples.petclinic,org.junit.jupiter.api,external,5
pet-clinic,org.springframework.samples.petclinic.owner.domain,jakarta.validation.constraints,external,5
pet-clinic,org.springframework.samples.petclinic.owner.ui,jakarta.validation,external,5
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.junit.jupiter.api.condition,external,5
pet-clinic,org.springframework.samples.petclinic.vet.internal,java.time,external,5
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.junit.jupiter.api,external,5
pet-clinic,org.springframework.samples.petclinic.owner.domain,java.io,external,4
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.springframework.data.domain,external,4
pet-clinic,org.springframework.samples.petclinic.owner.ui,java.time,external,4
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.mockito.BDDMockito,external,4
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.stereotype,external,4
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.context.annotation,external,4
pet-clinic,org.springframework.samples.petclinic,java.util,external,3
pet-clinic,org.springframework.samples.petclinic,org.assertj.core.api.Assertions,external,3
pet-clinic,org.springframework.samples.petclinic,org.springframework.beans.factory.annotation,external,3
pet-clinic,org.springframework.samples.petclinic,org.springframework.boot,external,3
pet-clinic,org.springframework.samples.petclinic,org.springframework.boot.restclient,external,3
pet-clinic,org.springframework.samples.petclinic,org.springframework.boot.test.context,external,3
pet-clinic,org.springframework.samples.petclinic,org.springframework.boot.test.context.SpringBootTest,external,3
pet-clinic,org.springframework.samples.petclinic,org.springframework.boot.test.web.server,external,3
pet-clinic,org.springframework.samples.petclinic,org.springframework.context.annotation,external,3
pet-clinic,org.springframework.samples.petclinic,org.springframework.core.env,external,3
pet-clinic,org.springframework.samples.petclinic,org.springframework.samples.petclinic.vet.internal,internal,3
pet-clinic,org.springframework.samples.petclinic,org.springframework.web.client,external,3
pet-clinic,org.springframework.samples.petclinic.owner.domain,java.time,external,3
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.springframework.data.jpa.repository,external,3
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.mockito.ArgumentMatchers,external,3
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.beans.factory.annotation,external,3
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.boot.webmvc.test.autoconfigure,external,3
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.test.context.aot,external,3
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.test.context.bean.override.mockito,external,3
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.test.web.servlet,external,3
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.util,external,3
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.web.bind,external,3
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.web.servlet.mvc.support,external,3
pet-clinic,org.springframework.samples.petclinic.system.internal,org.junit.jupiter.api,external,3
pet-clinic,org.springframework.samples.petclinic.vet.internal,jakarta.xml.bind.annotation,external,3
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.springframework.beans.factory.annotation,external,3
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.springframework.samples.petclinic.owner,internal,3
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.springframework.stereotype,external,3
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.springframework.web.bind.annotation,external,3
pet-clinic,org.springframework.samples.petclinic,org.apache.commons.logging,external,2
pet-clinic,org.springframework.samples.petclinic,org.junit.jupiter.api.condition,external,2
pet-clinic,org.springframework.samples.petclinic,org.springframework.boot.testcontainers.service.connection,external,2
pet-clinic,org.springframework.samples.petclinic,org.springframework.test.context,external,2
pet-clinic,org.springframework.samples.petclinic,org.testcontainers.junit.jupiter,external,2
pet-clinic,org.springframework.samples.petclinic,org.testcontainers.mysql,external,2
pet-clinic,org.springframework.samples.petclinic,org.testcontainers.utility,external,2
pet-clinic,org.springframework.samples.petclinic.owner.application,org.springframework.modulith.test,external,2
pet-clinic,org.springframework.samples.petclinic.owner.application,org.springframework.samples.petclinic.owner,internal,2
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.springframework.aot.hint,external,2
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.springframework.format.annotation,external,2
pet-clinic,org.springframework.samples.petclinic.owner.ui,java.text,external,2
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.assertj.core.api.Assertions,external,2
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.junit.jupiter.api.Assertions,external,2
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.junit.jupiter.api.extension,external,2
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.mockito.junit.jupiter,external,2
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.context.annotation,external,2
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.samples.petclinic.owner.application,internal,2
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.ui,external,2
pet-clinic,org.springframework.samples.petclinic.system.internal,org.assertj.core.api.Assertions,external,2
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.aot.hint,external,2
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.beans.factory.annotation,external,2
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.boot.jdbc.autoconfigure,external,2
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.stereotype,external,2
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.web.bind.annotation,external,2
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.web.servlet.config.annotation,external,2
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.web.servlet.i18n,external,2
pet-clinic,org.springframework.samples.petclinic.vet.internal,jakarta.validation.constraints,external,2
pet-clinic,org.springframework.samples.petclinic.vet.internal,java.io,external,2
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.assertj.core.api.Assertions,external,2
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.slf4j,external,2
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.springframework.aot.hint,external,2
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.springframework.data.repository,external,2
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.springframework.modulith.test,external,2
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.springframework.test.context.aot,external,2
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.springframework.test.web.servlet,external,2
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.springframework.transaction.annotation,external,2
pet-clinic,org.springframework.samples.petclinic,org.junit.jupiter.api.Assertions,external,1
pet-clinic,org.springframework.samples.petclinic,org.junit.jupiter.api.Assumptions,external,1
pet-clinic,org.springframework.samples.petclinic,org.springframework.boot.autoconfigure,external,1
pet-clinic,org.springframework.samples.petclinic,org.springframework.boot.builder,external,1
pet-clinic,org.springframework.samples.petclinic,org.springframework.boot.context.event,external,1
pet-clinic,org.springframework.samples.petclinic,org.springframework.context,external,1
pet-clinic,org.springframework.samples.petclinic,org.springframework.modulith,external,1
pet-clinic,org.springframework.samples.petclinic,org.springframework.modulith.core,external,1
pet-clinic,org.springframework.samples.petclinic,org.springframework.modulith.docs,external,1
pet-clinic,org.springframework.samples.petclinic,org.springframework.test.context.aot,external,1
pet-clinic,org.springframework.samples.petclinic,org.testcontainers,external,1
pet-clinic,org.springframework.samples.petclinic.owner,java.time,external,1
pet-clinic,org.springframework.samples.petclinic.owner.application,org.assertj.core.api.BDDAssertions,external,1
pet-clinic,org.springframework.samples.petclinic.owner.application,org.junit.jupiter.api,external,1
pet-clinic,org.springframework.samples.petclinic.owner.application,org.springframework.beans.factory.annotation,external,1
pet-clinic,org.springframework.samples.petclinic.owner.application,org.springframework.context,external,1
pet-clinic,org.springframework.samples.petclinic.owner.application,org.springframework.stereotype,external,1
pet-clinic,org.springframework.samples.petclinic.owner.application,org.springframework.transaction.annotation,external,1
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.assertj.core.api.Assertions,external,1
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.junit.jupiter.api,external,1
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.springframework.beans.factory.annotation,external,1
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.springframework.boot.data.jpa.test.autoconfigure,external,1
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.springframework.boot.jdbc.test.autoconfigure,external,1
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.springframework.boot.jdbc.test.autoconfigure.AutoConfigureTestDatabase,external,1
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.springframework.core.style,external,1
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.springframework.test.context.aot,external,1
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.springframework.transaction.annotation,external,1
pet-clinic,org.springframework.samples.petclinic.owner.domain,org.springframework.util,external,1
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.mockito,external,1
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.mockito.Mockito,external,1
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.context.i18n,external,1
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.format,external,1
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.test.web.servlet.request,external,1
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.validation.beanvalidation,external,1
pet-clinic,org.springframework.samples.petclinic.owner.ui,org.springframework.web.servlet,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,java.io,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,java.nio.file,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,java.util.regex,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,java.util.stream,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,javax.cache.configuration,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,org.junit.jupiter.api.Assertions,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.boot.autoconfigure,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.boot.cache.autoconfigure,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.boot.hibernate.autoconfigure,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.boot.resttestclient,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.boot.resttestclient.autoconfigure,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.boot.test.context.SpringBootTest.WebEnvironment,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.cache.annotation,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.core,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.modulith.test,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.test.context,external,1
pet-clinic,org.springframework.samples.petclinic.system.internal,org.springframework.web.servlet,external,1
pet-clinic,org.springframework.samples.petclinic.vet.internal,java.util.stream,external,1
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.assertj.core.api.BDDAssertions,external,1
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.assertj.core.util,external,1
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.junit.jupiter.api.condition,external,1
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.mockito.ArgumentMatchers,external,1
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.mockito.BDDMockito,external,1
pet-clinic,org.springframework.samples.petclinic.vet.internal,org.springframework.boot.data.jpa.test.autoconfigure,external,1
