source,path,project_name,approach,provider,model_name,prompt_template,run_id,issue_type,message
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,7ep,direct,deepseek,deepseek-chat,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,7ep,direct,openai,gpt-5.5-2026-04-23,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,7ep,direct,openai,gpt-5.5-2026-04-23,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,acmeair,direct,deepseek,deepseek-chat,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,acmeair,direct,deepseek,deepseek-chat,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,cargo-tracker,direct,deepseek,deepseek-chat,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,cargo-tracker,direct,deepseek,deepseek-chat,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,daytrader7,direct,deepseek,deepseek-chat,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,daytrader7,direct,deepseek,deepseek-chat,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,Jokul,direct,deepseek,deepseek-chat,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,Jokul,direct,deepseek,deepseek-chat,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,jpetstore,direct,deepseek,deepseek-chat,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,jpetstore,direct,deepseek,deepseek-chat,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,pet-clinic,direct,deepseek,deepseek-chat,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,pet-clinic,direct,deepseek,deepseek-chat,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,acmeair,direct,openai,gpt-5.5-2026-04-23,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,acmeair,direct,openai,gpt-5.5-2026-04-23,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,cargo-tracker,direct,openai,gpt-5.5-2026-04-23,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,cargo-tracker,direct,openai,gpt-5.5-2026-04-23,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,daytrader7,direct,openai,gpt-5.5-2026-04-23,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,daytrader7,direct,openai,gpt-5.5-2026-04-23,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,Jokul,direct,openai,gpt-5.5-2026-04-23,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,Jokul,direct,openai,gpt-5.5-2026-04-23,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,jpetstore,direct,openai,gpt-5.5-2026-04-23,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,jpetstore,direct,openai,gpt-5.5-2026-04-23,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,pet-clinic,direct,openai,gpt-5.5-2026-04-23,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,pet-clinic,direct,openai,gpt-5.5-2026-04-23,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,acmeair,direct,anthropic,claude-opus-4-8,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,acmeair,direct,anthropic,claude-opus-4-8,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,cargo-tracker,direct,anthropic,claude-opus-4-8,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,cargo-tracker,direct,anthropic,claude-opus-4-8,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,daytrader7,direct,anthropic,claude-opus-4-8,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,daytrader7,direct,anthropic,claude-opus-4-8,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,Jokul,direct,anthropic,claude-opus-4-8,zero_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
metadata,C:/Users/Renanzin/arquitecture generation tool/outputs/metadata.csv,Jokul,direct,anthropic,claude-opus-4-8,few_shot,run_1,duplicate_metadata_run,Multiple metadata rows share this run identity; the latest successful row was selected.
