project_name,approach,provider,model_name,prompt_template,metric_group,metric_name,run_count,mean,median,population_stddev,minimum,maximum
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,average_incoming_communications,1,1.5,1.5,0.0,1.5,1.5
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,average_outgoing_communications,1,1.5,1.5,0.0,1.5,1.5
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,average_responsibility_token_jaccard,1,0.03722424577687736,0.03722424577687736,0.0,0.03722424577687736,0.03722424577687736
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,average_responsibility_word_count,1,23.25,23.25,0.0,23.25,23.25
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,communication_density,1,0.5,0.5,0.0,0.5,0.5
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,declared_communication_count,1,6.0,6.0,0.0,6.0,6.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,duplicate_communication_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,duplicate_service_name_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,invalid_communication_target_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,isolated_services_count,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,isolated_services_ratio,1,0.25,0.25,0.0,0.25,0.25
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,malformed_service_row_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,max_incoming_communications,1,2.0,2.0,0.0,2.0,2.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,max_outgoing_communications,1,2.0,2.0,0.0,2.0,2.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,max_responsibility_word_count,1,28.0,28.0,0.0,28.0,28.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,min_responsibility_word_count,1,18.0,18.0,0.0,18.0,18.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,raw_declared_communication_count,1,6.0,6.0,0.0,6.0,6.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,reciprocal_communication_pair_count,1,3.0,3.0,0.0,3.0,3.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,reciprocity_ratio,1,1.0,1.0,0.0,1.0,1.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,responsibility_word_count_stddev,1,3.960744879438715,3.960744879438715,0.0,3.960744879438715,3.960744879438715
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,self_communication_count,1,0.0,0.0,0.0,0.0,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,architecture,service_count,1,4.0,4.0,0.0,4.0,4.0
