project_name,approach,provider,model_name,prompt_template,run_id,metadata_status,metadata_timestamp,metadata_record_count,csv_path,architecture_status,architecture_warnings,service_count,unique_service_count,duplicate_service_name_count,malformed_service_row_count,raw_declared_communication_count,declared_communication_count,duplicate_communication_count,valid_communication_count,invalid_communication_target_count,self_communication_count,communication_density,average_outgoing_communications,max_outgoing_communications,average_incoming_communications,max_incoming_communications,isolated_services_count,isolated_services_ratio,reciprocal_communication_pair_count,reciprocity_ratio,total_responsibility_word_count,average_responsibility_word_count,responsibility_word_count_stddev,min_responsibility_word_count,max_responsibility_word_count,short_responsibility_count,short_responsibility_ratio,average_responsibility_token_jaccard
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,success,2026-08-28T21:29:44.989324+00:00,3,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/anthropic/claude-opus-4-8/few_shot/run_1.csv,calculated,,4,4,0,0,6,6,0,6,0,0,0.5,1.5,2,1.5,2,1,0.25,3,1.0,93,23.25,3.960744879438715,18,28,0,0.0,0.03722424577687736
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,success,2026-08-28T21:29:36.523719+00:00,3,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/anthropic/claude-opus-4-8/zero_shot/run_1.csv,calculated,,4,4,0,0,4,4,0,4,0,0,0.3333333333333333,1.0,2,1.0,2,1,0.25,2,1.0,126,31.5,11.05667219374799,21,50,0,0.0,0.05890743341871161
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,success,2026-08-28T21:32:22.247076+00:00,4,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/few_shot/run_1.csv,calculated,,3,3,0,0,2,2,0,2,0,0,0.3333333333333333,0.6666666666666666,1,0.6666666666666666,1,1,0.3333333333333333,1,1.0,31,10.333333333333334,2.3570226039551585,7,12,0,0.0,0.10214752567693745
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,success,2026-08-28T21:32:18.853176+00:00,4,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,calculated,,4,4,0,0,6,6,0,6,0,0,0.5,1.5,2,1.5,2,1,0.25,3,1.0,39,9.75,1.7853571071357126,7,12,0,0.0,0.06739672364672365
7ep,direct,openai,gpt-5.5-2026-04-23,few_shot,run_1,success,2026-08-28T21:25:00.089625+00:00,3,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,calculated,,4,4,0,0,6,6,0,6,0,0,0.5,1.5,2,1.5,2,1,0.25,3,1.0,65,16.25,1.479019945774904,14,18,0,0.0,0.07337606837606837
7ep,direct,openai,gpt-5.5-2026-04-23,zero_shot,run_1,success,2026-08-28T21:24:33.480429+00:00,3,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,calculated,,4,4,0,0,6,6,0,6,0,0,0.5,1.5,2,1.5,2,1,0.25,3,1.0,119,29.75,7.949056547792323,22,43,0,0.0,0.05752682601086856
Jokul,direct,anthropic,claude-opus-4-8,few_shot,run_1,success,2026-08-28T21:31:12.828960+00:00,2,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/anthropic/claude-opus-4-8/few_shot/run_1.csv,calculated,,3,3,0,0,4,4,0,4,0,0,0.6666666666666666,1.3333333333333333,2,1.3333333333333333,2,0,0.0,2,1.0,72,24.0,3.265986323710904,20,28,0,0.0,0.09308393759613272
Jokul,direct,anthropic,claude-opus-4-8,zero_shot,run_1,success,2026-08-28T21:31:03.730167+00:00,2,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/anthropic/claude-opus-4-8/zero_shot/run_1.csv,calculated,,3,3,0,0,6,6,0,6,0,0,1.0,2.0,2,2.0,2,0,0.0,3,1.0,139,46.333333333333336,5.2493385826745405,39,51,0,0.0,0.0846715393370323
Jokul,direct,deepseek,deepseek-chat,few_shot,run_1,success,2026-08-28T21:32:57.571458+00:00,2,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/deepseek/deepseek-chat/few_shot/run_1.csv,calculated,,3,3,0,0,4,4,0,4,0,0,0.6666666666666666,1.3333333333333333,2,1.3333333333333333,2,0,0.0,2,1.0,33,11.0,0.816496580927726,10,12,0,0.0,0.09017642144577127
Jokul,direct,deepseek,deepseek-chat,zero_shot,run_1,success,2026-08-28T21:32:54.193374+00:00,2,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,calculated,,3,3,0,0,6,6,0,6,0,0,1.0,2.0,2,2.0,2,0,0.0,3,1.0,58,19.333333333333332,3.0912061651652345,15,22,0,0.0,0.05353535353535354
Jokul,direct,openai,gpt-5.5-2026-04-23,few_shot,run_1,success,2026-08-28T21:27:58.693832+00:00,2,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,calculated,,3,3,0,0,6,6,0,6,0,0,1.0,2.0,2,2.0,2,0,0.0,3,1.0,66,22.0,4.96655480858378,18,29,0,0.0,0.06957047791893527
Jokul,direct,openai,gpt-5.5-2026-04-23,zero_shot,run_1,success,2026-08-28T21:27:46.682975+00:00,2,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,calculated,,3,3,0,0,6,6,0,6,0,0,1.0,2.0,2,2.0,2,0,0.0,3,1.0,77,25.666666666666668,6.182412330330469,17,31,0,0.0,0.11006493506493507
TNTConcept,direct,anthropic,claude-opus-4-8,few_shot,run_1,success,2026-08-28T22:05:39.509250+00:00,1,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/anthropic/claude-opus-4-8/few_shot/run_1.csv,calculated,,10,10,0,0,32,32,0,32,0,0,0.35555555555555557,3.2,4,3.2,5,0,0.0,14,0.875,252,25.2,2.891366458960192,21,29,0,0.0,0.060350472850046036
TNTConcept,direct,anthropic,claude-opus-4-8,zero_shot,run_1,success,2026-08-28T22:05:14.510976+00:00,1,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/anthropic/claude-opus-4-8/zero_shot/run_1.csv,calculated,,11,11,0,0,42,42,0,42,0,0,0.38181818181818183,3.8181818181818183,5,3.8181818181818183,6,0,0.0,18,0.8571428571428571,460,41.81818181818182,5.781132034758053,34,50,0,0.0,0.10529505472515541
TNTConcept,direct,deepseek,deepseek-chat,few_shot,run_1,success,2026-08-26T13:49:39.955604+00:00,1,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/deepseek/deepseek-chat/few_shot/tnt - deepseek - fs.csv,calculated,,8,8,0,0,21,21,0,21,0,0,0.375,2.625,5,2.625,5,0,0.0,10,0.9523809523809523,131,16.375,1.2183492931011204,15,19,0,0.0,0.08174152653916876
TNTConcept,direct,deepseek,deepseek-chat,zero_shot,run_1,success,2026-08-26T13:49:31.710629+00:00,1,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/deepseek/deepseek-chat/zero_shot/tnt - deeepseek - zs.csv,calculated,,14,14,0,0,47,47,0,47,0,0,0.25824175824175827,3.357142857142857,6,3.357142857142857,7,0,0.0,19,0.8085106382978723,270,19.285714285714285,3.8252650968559667,13,29,0,0.0,0.07009756232702512
TNTConcept,direct,openai,gpt-5.5-2026-04-23,few_shot,run_1,success,2026-08-26T13:51:34.069098+00:00,1,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/openai/gpt-5.5-2026-04-23/few_shot/tnt - openai - fs.csv,calculated,,9,9,0,0,52,52,0,52,0,0,0.7222222222222222,5.777777777777778,8,5.777777777777778,8,0,0.0,26,1.0,270,30.0,4.618802153517006,23,39,0,0.0,0.05990849009746354
TNTConcept,direct,openai,gpt-5.5-2026-04-23,zero_shot,run_1,success,2026-08-26T13:50:56.749790+00:00,1,C:/Users/Renanzin/arquitecture generation tool/outputs/TNTConcept/direct/openai/gpt-5.5-2026-04-23/zero_shot/tnt - openai - zs.csv,calculated,,9,9,0,0,48,48,0,48,0,0,0.6666666666666666,5.333333333333333,7,5.333333333333333,8,0,0.0,23,0.9583333333333334,231,25.666666666666668,3.3333333333333335,21,32,0,0.0,0.06669530480741764
acmeair,direct,anthropic,claude-opus-4-8,few_shot,run_1,success,2026-08-28T21:30:06.317700+00:00,2,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/anthropic/claude-opus-4-8/few_shot/run_1.csv,calculated,,5,5,0,0,13,13,0,13,0,0,0.65,2.6,4,2.6,4,0,0.0,4,0.6153846153846154,96,19.2,2.925747767665559,14,22,0,0.0,0.0954147956922475
acmeair,direct,anthropic,claude-opus-4-8,zero_shot,run_1,success,2026-08-28T21:29:55.135214+00:00,2,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/anthropic/claude-opus-4-8/zero_shot/run_1.csv,calculated,,5,5,0,0,9,9,0,9,0,0,0.45,1.8,4,1.8,3,0,0.0,1,0.2222222222222222,200,40.0,5.932958789676531,33,51,0,0.0,0.10802028955926306
acmeair,direct,deepseek,deepseek-chat,few_shot,run_1,success,2026-08-28T21:32:30.033666+00:00,2,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/deepseek/deepseek-chat/few_shot/run_1.csv,calculated,,5,5,0,0,9,9,0,9,0,0,0.45,1.8,3,1.8,3,0,0.0,3,0.6666666666666666,38,7.6,0.4898979485566356,7,8,0,0.0,0.11837162837162836
acmeair,direct,deepseek,deepseek-chat,zero_shot,run_1,success,2026-08-28T21:32:26.574704+00:00,2,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,calculated,,6,6,0,0,13,13,0,13,0,0,0.43333333333333335,2.1666666666666665,4,2.1666666666666665,4,0,0.0,4,0.6153846153846154,60,10.0,2.0,7,13,0,0.0,0.12904218187499922
acmeair,direct,openai,gpt-5.5-2026-04-23,few_shot,run_1,success,2026-08-28T21:25:48.293514+00:00,2,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,calculated,,5,5,0,0,16,16,0,16,0,0,0.8,3.2,4,3.2,4,0,0.0,8,1.0,108,21.6,4.223742416388575,17,29,0,0.0,0.08077704158586511
acmeair,direct,openai,gpt-5.5-2026-04-23,zero_shot,run_1,success,2026-08-28T21:25:27.084727+00:00,2,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,calculated,,4,4,0,0,10,10,0,10,0,0,0.8333333333333334,2.5,3,2.5,3,0,0.0,5,1.0,134,33.5,3.2015621187164243,30,38,0,0.0,0.04347205548886221
