project_name,approach,provider,model_name,prompt_template,run_id,metric_group,metric_name,metric_value
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,service_count,4.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,unique_service_count,4.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,duplicate_service_name_count,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,malformed_service_row_count,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,raw_declared_communication_count,6.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,declared_communication_count,6.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,duplicate_communication_count,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,valid_communication_count,6.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,invalid_communication_target_count,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,self_communication_count,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,communication_density,0.5
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,average_outgoing_communications,1.5
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,max_outgoing_communications,2.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,average_incoming_communications,1.5
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,max_incoming_communications,2.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,isolated_services_count,1.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,isolated_services_ratio,0.25
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,reciprocal_communication_pair_count,3.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,reciprocity_ratio,1.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,total_responsibility_word_count,93.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,average_responsibility_word_count,23.25
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,responsibility_word_count_stddev,3.960744879438715
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,min_responsibility_word_count,18.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,max_responsibility_word_count,28.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,short_responsibility_count,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,short_responsibility_ratio,0.0
7ep,direct,anthropic,claude-opus-4-8,few_shot,run_1,architecture,average_responsibility_token_jaccard,0.03722424577687736
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,service_count,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,unique_service_count,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,duplicate_service_name_count,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,malformed_service_row_count,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,raw_declared_communication_count,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,declared_communication_count,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,duplicate_communication_count,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,valid_communication_count,4.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,invalid_communication_target_count,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,self_communication_count,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,communication_density,0.3333333333333333
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,average_outgoing_communications,1.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,max_outgoing_communications,2.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,average_incoming_communications,1.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,max_incoming_communications,2.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,isolated_services_count,1.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,isolated_services_ratio,0.25
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,reciprocal_communication_pair_count,2.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,reciprocity_ratio,1.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,total_responsibility_word_count,126.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,average_responsibility_word_count,31.5
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,responsibility_word_count_stddev,11.05667219374799
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,min_responsibility_word_count,21.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,max_responsibility_word_count,50.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,short_responsibility_count,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,short_responsibility_ratio,0.0
7ep,direct,anthropic,claude-opus-4-8,zero_shot,run_1,architecture,average_responsibility_token_jaccard,0.05890743341871161
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,service_count,3.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,unique_service_count,3.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,duplicate_service_name_count,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,malformed_service_row_count,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,raw_declared_communication_count,2.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,declared_communication_count,2.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,duplicate_communication_count,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,valid_communication_count,2.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,invalid_communication_target_count,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,self_communication_count,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,communication_density,0.3333333333333333
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,average_outgoing_communications,0.6666666666666666
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,max_outgoing_communications,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,average_incoming_communications,0.6666666666666666
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,max_incoming_communications,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,isolated_services_count,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,isolated_services_ratio,0.3333333333333333
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,reciprocal_communication_pair_count,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,reciprocity_ratio,1.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,total_responsibility_word_count,31.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,average_responsibility_word_count,10.333333333333334
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,responsibility_word_count_stddev,2.3570226039551585
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,min_responsibility_word_count,7.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,max_responsibility_word_count,12.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,short_responsibility_count,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,short_responsibility_ratio,0.0
7ep,direct,deepseek,deepseek-chat,few_shot,run_1,architecture,average_responsibility_token_jaccard,0.10214752567693745
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,service_count,4.0
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,unique_service_count,4.0
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,duplicate_service_name_count,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,malformed_service_row_count,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,raw_declared_communication_count,6.0
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,declared_communication_count,6.0
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,duplicate_communication_count,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,valid_communication_count,6.0
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,invalid_communication_target_count,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,self_communication_count,0.0
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,communication_density,0.5
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,average_outgoing_communications,1.5
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,max_outgoing_communications,2.0
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,average_incoming_communications,1.5
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,max_incoming_communications,2.0
7ep,direct,deepseek,deepseek-chat,zero_shot,run_1,architecture,isolated_services_count,1.0
