project_name,approach,provider,model_name,prompt_template,run_count,run_pair_count,service_count_mean,service_count_population_stddev,valid_communication_count_mean,valid_communication_count_population_stddev,mean_service_set_jaccard,mean_communication_set_jaccard
7ep,direct,anthropic,claude-opus-4-8,few_shot,1,0,4.0,0.0,6.0,0.0,,
7ep,direct,anthropic,claude-opus-4-8,zero_shot,1,0,4.0,0.0,4.0,0.0,,
7ep,direct,deepseek,deepseek-chat,few_shot,1,0,3.0,0.0,2.0,0.0,,
7ep,direct,deepseek,deepseek-chat,zero_shot,1,0,4.0,0.0,6.0,0.0,,
7ep,direct,openai,gpt-5.5-2026-04-23,few_shot,1,0,4.0,0.0,6.0,0.0,,
7ep,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,0,4.0,0.0,6.0,0.0,,
Jokul,direct,anthropic,claude-opus-4-8,few_shot,1,0,3.0,0.0,4.0,0.0,,
Jokul,direct,anthropic,claude-opus-4-8,zero_shot,1,0,3.0,0.0,6.0,0.0,,
Jokul,direct,deepseek,deepseek-chat,few_shot,1,0,3.0,0.0,4.0,0.0,,
Jokul,direct,deepseek,deepseek-chat,zero_shot,1,0,3.0,0.0,6.0,0.0,,
Jokul,direct,openai,gpt-5.5-2026-04-23,few_shot,1,0,3.0,0.0,6.0,0.0,,
Jokul,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,0,3.0,0.0,6.0,0.0,,
TNTConcept,direct,anthropic,claude-opus-4-8,few_shot,1,0,10.0,0.0,32.0,0.0,,
TNTConcept,direct,anthropic,claude-opus-4-8,zero_shot,1,0,11.0,0.0,42.0,0.0,,
TNTConcept,direct,deepseek,deepseek-chat,few_shot,1,0,8.0,0.0,21.0,0.0,,
TNTConcept,direct,deepseek,deepseek-chat,zero_shot,1,0,14.0,0.0,47.0,0.0,,
TNTConcept,direct,openai,gpt-5.5-2026-04-23,few_shot,1,0,9.0,0.0,52.0,0.0,,
TNTConcept,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,0,9.0,0.0,48.0,0.0,,
acmeair,direct,anthropic,claude-opus-4-8,few_shot,1,0,5.0,0.0,13.0,0.0,,
acmeair,direct,anthropic,claude-opus-4-8,zero_shot,1,0,5.0,0.0,9.0,0.0,,
acmeair,direct,deepseek,deepseek-chat,few_shot,1,0,5.0,0.0,9.0,0.0,,
acmeair,direct,deepseek,deepseek-chat,zero_shot,1,0,6.0,0.0,13.0,0.0,,
acmeair,direct,openai,gpt-5.5-2026-04-23,few_shot,1,0,5.0,0.0,16.0,0.0,,
acmeair,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,0,4.0,0.0,10.0,0.0,,
cargo-tracker,direct,anthropic,claude-opus-4-8,few_shot,1,0,5.0,0.0,14.0,0.0,,
cargo-tracker,direct,anthropic,claude-opus-4-8,zero_shot,1,0,5.0,0.0,11.0,0.0,,
cargo-tracker,direct,deepseek,deepseek-chat,few_shot,1,0,4.0,0.0,10.0,0.0,,
cargo-tracker,direct,deepseek,deepseek-chat,zero_shot,1,0,4.0,0.0,10.0,0.0,,
cargo-tracker,direct,openai,gpt-5.5-2026-04-23,few_shot,1,0,3.0,0.0,6.0,0.0,,
cargo-tracker,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,0,3.0,0.0,6.0,0.0,,
daytrader7,direct,anthropic,claude-opus-4-8,few_shot,1,0,6.0,0.0,15.0,0.0,,
daytrader7,direct,anthropic,claude-opus-4-8,zero_shot,1,0,5.0,0.0,13.0,0.0,,
daytrader7,direct,deepseek,deepseek-chat,few_shot,1,0,6.0,0.0,13.0,0.0,,
daytrader7,direct,deepseek,deepseek-chat,zero_shot,1,0,6.0,0.0,14.0,0.0,,
daytrader7,direct,openai,gpt-5.5-2026-04-23,few_shot,1,0,4.0,0.0,10.0,0.0,,
daytrader7,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,0,4.0,0.0,10.0,0.0,,
jpetstore,direct,anthropic,claude-opus-4-8,few_shot,1,0,3.0,0.0,5.0,0.0,,
jpetstore,direct,anthropic,claude-opus-4-8,zero_shot,1,0,4.0,0.0,10.0,0.0,,
jpetstore,direct,deepseek,deepseek-chat,few_shot,1,0,5.0,0.0,12.0,0.0,,
jpetstore,direct,deepseek,deepseek-chat,zero_shot,1,0,5.0,0.0,11.0,0.0,,
jpetstore,direct,openai,gpt-5.5-2026-04-23,few_shot,1,0,3.0,0.0,6.0,0.0,,
jpetstore,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,0,3.0,0.0,6.0,0.0,,
pet-clinic,direct,anthropic,claude-opus-4-8,few_shot,1,0,2.0,0.0,2.0,0.0,,
pet-clinic,direct,anthropic,claude-opus-4-8,zero_shot,1,0,3.0,0.0,4.0,0.0,,
pet-clinic,direct,deepseek,deepseek-chat,few_shot,1,0,4.0,0.0,8.0,0.0,,
pet-clinic,direct,deepseek,deepseek-chat,zero_shot,1,0,4.0,0.0,7.0,0.0,,
pet-clinic,direct,openai,gpt-5.5-2026-04-23,few_shot,1,0,3.0,0.0,4.0,0.0,,
pet-clinic,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,0,2.0,0.0,2.0,0.0,,
