project_name,approach,provider,model,prompt_template,run_number,output_path,trace_path,timestamp,status,error
7ep,direct,deepseek,deepseek-chat,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/zero_shot/run_1.trace.jsonl,2026-08-18T12:02:24.856922+00:00,success,
7ep,agent,deepseek,deepseek-chat,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/deepseek/deepseek-chat/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/deepseek/deepseek-chat/zero_shot/run_1.trace.jsonl,2026-08-18T12:02:28.118690+00:00,success,
7ep,direct,deepseek,deepseek-chat,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/few_shot/run_1.trace.jsonl,2026-08-18T12:03:30.930671+00:00,success,
7ep,agent,deepseek,deepseek-chat,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/deepseek/deepseek-chat/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/deepseek/deepseek-chat/few_shot/run_1.trace.jsonl,2026-08-18T12:03:33.801013+00:00,success,
7ep,direct,deepseek,deepseek-chat,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/zero_shot/run_1.trace.jsonl,2026-08-18T12:05:52.105166+00:00,success,
7ep,agent,deepseek,deepseek-chat,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/deepseek/deepseek-chat/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/deepseek/deepseek-chat/zero_shot/run_1.trace.jsonl,2026-08-18T12:05:55.457420+00:00,success,
7ep,direct,deepseek,deepseek-chat,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/few_shot/run_1.trace.jsonl,2026-08-18T12:07:00.638998+00:00,success,
7ep,agent,deepseek,deepseek-chat,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/deepseek/deepseek-chat/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/deepseek/deepseek-chat/few_shot/run_1.trace.jsonl,2026-08-18T12:07:02.572492+00:00,success,
7ep,direct,anthropic,claude-opus-4-8,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/anthropic/claude-opus-4-8/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/anthropic/claude-opus-4-8/zero_shot/run_1.trace.jsonl,2026-08-18T12:24:51.787572+00:00,success,
7ep,agent,anthropic,claude-opus-4-8,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/anthropic/claude-opus-4-8/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/anthropic/claude-opus-4-8/zero_shot/run_1.trace.jsonl,2026-08-18T12:25:00.436571+00:00,success,
7ep,direct,anthropic,claude-opus-4-8,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/anthropic/claude-opus-4-8/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/anthropic/claude-opus-4-8/few_shot/run_1.trace.jsonl,2026-08-18T12:26:39.528394+00:00,success,
7ep,agent,anthropic,claude-opus-4-8,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/anthropic/claude-opus-4-8/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/anthropic/claude-opus-4-8/few_shot/run_1.trace.jsonl,2026-08-18T12:26:46.418846+00:00,success,
7ep,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-18T12:35:36.261517+00:00,success,
7ep,agent,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-18T12:35:57.949901+00:00,success,
7ep,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-18T12:37:52.105010+00:00,success,
7ep,agent,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/agent/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-18T12:38:09.940334+00:00,success,
7ep,direct,deepseek,deepseek-chat,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/zero_shot/run_1.trace.jsonl,2026-08-25T21:53:39.975617+00:00,success,
7ep,direct,deepseek,deepseek-chat,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/deepseek/deepseek-chat/few_shot/run_1.trace.jsonl,2026-08-25T21:53:43.093653+00:00,success,
acmeair,direct,deepseek,deepseek-chat,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/deepseek/deepseek-chat/zero_shot/run_1.trace.jsonl,2026-08-25T21:53:48.415167+00:00,success,
acmeair,direct,deepseek,deepseek-chat,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/deepseek/deepseek-chat/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/deepseek/deepseek-chat/few_shot/run_1.trace.jsonl,2026-08-25T21:53:51.234332+00:00,success,
cargo-tracker,direct,deepseek,deepseek-chat,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/deepseek/deepseek-chat/zero_shot/run_1.trace.jsonl,2026-08-25T21:53:56.695506+00:00,success,
cargo-tracker,direct,deepseek,deepseek-chat,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/deepseek/deepseek-chat/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/cargo-tracker/direct/deepseek/deepseek-chat/few_shot/run_1.trace.jsonl,2026-08-25T21:54:00.979242+00:00,success,
daytrader7,direct,deepseek,deepseek-chat,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/deepseek/deepseek-chat/zero_shot/run_1.trace.jsonl,2026-08-25T21:54:06.766371+00:00,success,
daytrader7,direct,deepseek,deepseek-chat,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/deepseek/deepseek-chat/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/daytrader7/direct/deepseek/deepseek-chat/few_shot/run_1.trace.jsonl,2026-08-25T21:54:10.705536+00:00,success,
Jokul,direct,deepseek,deepseek-chat,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/deepseek/deepseek-chat/zero_shot/run_1.trace.jsonl,2026-08-25T21:54:16.412334+00:00,success,
Jokul,direct,deepseek,deepseek-chat,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/deepseek/deepseek-chat/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/Jokul/direct/deepseek/deepseek-chat/few_shot/run_1.trace.jsonl,2026-08-25T21:54:19.685348+00:00,success,
jpetstore,direct,deepseek,deepseek-chat,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/jpetstore/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/jpetstore/direct/deepseek/deepseek-chat/zero_shot/run_1.trace.jsonl,2026-08-25T21:54:24.778851+00:00,success,
jpetstore,direct,deepseek,deepseek-chat,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/jpetstore/direct/deepseek/deepseek-chat/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/jpetstore/direct/deepseek/deepseek-chat/few_shot/run_1.trace.jsonl,2026-08-25T21:54:28.948148+00:00,success,
pet-clinic,direct,deepseek,deepseek-chat,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/pet-clinic/direct/deepseek/deepseek-chat/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/pet-clinic/direct/deepseek/deepseek-chat/zero_shot/run_1.trace.jsonl,2026-08-25T21:54:34.829604+00:00,success,
pet-clinic,direct,deepseek,deepseek-chat,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/pet-clinic/direct/deepseek/deepseek-chat/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/pet-clinic/direct/deepseek/deepseek-chat/few_shot/run_1.trace.jsonl,2026-08-25T21:54:37.551952+00:00,success,
7ep,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-25T21:56:32.182696+00:00,success,
7ep,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/7ep/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-25T21:57:11.808335+00:00,success,
acmeair,direct,openai,gpt-5.5-2026-04-23,zero_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/openai/gpt-5.5-2026-04-23/zero_shot/run_1.trace.jsonl,2026-08-25T21:57:36.053550+00:00,success,
acmeair,direct,openai,gpt-5.5-2026-04-23,few_shot,1,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.csv,C:/Users/Renanzin/arquitecture generation tool/outputs/acmeair/direct/openai/gpt-5.5-2026-04-23/few_shot/run_1.trace.jsonl,2026-08-25T21:58:07.028638+00:00,success,
