Requisitos - categorias,Identificação,Descrição
Acesso de bibliotecários,RF - 01,O sistema deve permitir o cadastro de bibliotecários por meio de nome de usuário e senha.
,RF - 02,O sistema não deve permitir o cadastro de um bibliotecário com nome de usuário já existente.
,RF - 03,O sistema deve exigir o preenchimento de nome de usuário e senha no cadastro.
,RF - 04,O sistema deve aceitar apenas senhas consideradas fortes o suficiente para uso seguro.
,RF - 05,O sistema deve rejeitar senhas muito curtas.
,RF - 06,O sistema deve permitir que bibliotecários autenticados informem nome de usuário e senha para entrar no sistema.
,RF - 07,O sistema deve conceder acesso somente quando usuário e senha corresponderem exatamente ao cadastro existente.
,RF - 08,O sistema deve negar o acesso quando usuário ou senha estiverem incorretos ou não forem informados.
Cadastro e manutenção de livros,RF - 09,O sistema deve permitir o cadastro de livros no acervo por titulo.
,RF - 10,O sistema não deve permitir o cadastro duplicado de um mesmo livro.
,RF - 11,O sistema deve informar quando a tentativa de cadastro de livro falhar por falta de titulo.
,RF - 12,O sistema deve permitir a exclusão de livros já cadastrados.
,RF - 13,O sistema não deve permitir a exclusão de livros que nunca foram cadastrados.
,RF - 14,O sistema deve excluir também o vínculo de empréstimo quando um livro removido estiver emprestado.
Cadastro e manutenção de leitores,RF - 15,O sistema deve permitir o cadastro de leitores aptos a receber empréstimos.
,RF - 16,O sistema não deve permitir o cadastro duplicado de um mesmo leitor.
,RF - 17,O sistema deve informar quando a tentativa de cadastro de leitor falhar por falta de nome.
,RF - 18,O sistema deve permitir a exclusão de leitores já cadastrados.
,RF - 19,O sistema não deve permitir a exclusão de leitores que nunca foram cadastrados.
,RF - 20,O sistema deve excluir tambem os vinculos de empréstimo quando um leitor removido possuir livros emprestados.
Empréstimo de livros,RF - 21,O sistema deve permitir registrar o empréstimo de um livro para um leitor cadastrado.
,RF - 22,O sistema deve registrar a data em que o emprestimo foi realizado.
,RF - 23,O sistema não deve permitir empréstimo para pessoa que não esteja cadastrada como leitora.
,RF - 24,O sistema não deve permitir empréstimo de livro que não esteja cadastrado.
