Requisitos - Categorias,Identificação,Descrição,GitHub - InnoFang/jokul: 🎬A movie site built by Spring Boot and React.js based on front-end and back-end separation. · GitHub
Acesso e perfis,RF - 01,O sistema deve permitir cadastro de usuarios com nome de usuario e senha.,
,RF - 02,O sistema deve permitir login de usuarios ja cadastrados.,
,RF - 03,O sistema deve diferenciar pelo menos dois perfis de uso: usuario comum e administrador.,
,RF - 04,"O sistema deve negar o acesso quando o usuario nao existir, quando a senha estiver incorreta ou quando o perfil informado nao corresponder ao cadastro.",
,RF - 05,O sistema deve manter a identificacao do usuario logado durante a navegacao no navegador.,
,RF - 06,O sistema deve exibir a area de gestao de recursos apenas para usuarios identificados como administradores.,
,RF - 07,O sistema deve permitir que o usuario encerre a sessao.,
Catalogo de filmes,RF - 08,O sistema deve exibir uma pagina inicial com a listagem de filmes disponiveis.,
,RF - 09,"Cada filme listado deve apresentar, no minimo, titulo, poster e nota.",
,RF - 10,O sistema deve organizar a listagem de filmes em paginas.,
,RF - 11,O sistema deve permitir a consulta da quantidade total de filmes cadastrados para suportar a navegacao paginada.,
,RF - 12,O sistema deve permitir abrir a pagina de detalhes de um filme a partir da listagem.,
Consulta de detalhes do filme,RF - 13,O sistema deve apresentar uma pagina de detalhes para cada filme.,
,RF - 14,"A pagina de detalhes deve exibir, no minimo, titulo, nota, nome alternativo, data de lancamento, duracao, direcao, roteiro, elenco, sinopse, poster e categorias.",
,RF - 15,O sistema deve permitir visualizar o elenco completo do filme.,
,RF - 16,"O sistema deve impedir a consulta de detalhes de filmes inexistentes, retornando uma mensagem de erro apropriada.
",
Categorias e descoberta de conteudo,RF - 17,O sistema deve disponibilizar uma area de navegacao por categorias de filmes.,
,RF - 18,O sistema deve permitir visualizar todas as categorias cadastradas.,
,RF - 19,O sistema deve permitir listar apenas os filmes pertencentes a uma categoria selecionada.,
,RF - 20,Um filme deve poder pertencer a mais de uma categoria.,
,RF - 21,O sistema deve permitir voltar da visao por categoria para a visao geral do catalogo.,
Reproducao e acesso ao arquivo do filme,RF - 22,O sistema deve permitir iniciar a reproducao de um filme a partir da sua pagina de detalhes.,
,RF - 23,O sistema deve disponibilizar um link para download do arquivo do filme quando o recurso estiver pronto para consumo.,
,RF - 24,"Antes da reproducao, o sistema deve garantir que o arquivo de video esteja disponivel na area usada pela aplicacao para entrega do conteudo.",
,RF - 25,"Se o arquivo ainda nao estiver disponivel nessa area de entrega, o sistema deve tentar obtelo a partir do repositorio local configurado.",
Administracao do acervo,RF - 26,O administrador deve poder cadastrar um novo filme no catalogo.,
,RF - 27,"O cadastro de filme deve incluir, no minimo, titulo, nota, nome alternativo, data de lancamento, duracao, direcao, roteiro, elenco, categorias, sinopse e poster.",
,RF - 28,O sistema deve impedir o cadastro duplicado de filmes com o mesmo titulo.,
,RF - 29,O administrador deve poder enviar o arquivo de video do filme para a aplicacao.,
,RF - 30,O administrador deve poder excluir um filme do catalogo.,
,RF - 31,O sistema deve permitir a exclusao em lote de mais de um filme.,
,RF - 32,O sistema deve informar ao administrador quais filmes foram selecionados antes da exclusao em lote.,
,RF - 33,O sistema deve impedir a exclusao de filmes inexistentes.,
"Regras de consistencia do cadastro
",RF - 34,O sistema deve impedir cadastro duplicado de usuarios com o mesmo nome de usuario.,
,RF - 35,O titulo do filme deve ser tratado como identificador unico do cadastro no catalogo.,
,RF - 36,O processo padrao de reproducao pressupoe que o arquivo fisico do filme tenha correspondencia com o titulo cadastrado.,
Experiencia de uso,RNF - 37,A aplicacao deve ser acessivel por interface web.,
,RNF - 38,"A navegacao do catalogo deve ser simples e direta, com acesso visivel a pagina inicial, categorias, detalhes e reproducao.",
,RNF - 39,"A aplicacao deve apresentar mensagens claras de sucesso, alerta e falha nas operacoes principais, como login, cadastro, inclusao, exclusao, upload e reproducao.",
,RNF - 40,"A exibicao do catalogo deve ser paginada em blocos de ate 12 filmes por pagina, favorecendo organizacao visual e desempenho percebido.",
Integridade e confiabilidade,RNF - 41,"O sistema deve manter um padrao unico de resposta para as operacoes, indicando status, mensagem e dados retornados.",
,RNF - 42,"As informacoes de usuarios, filmes e categorias devem ser persistidas de forma duravel.",
,RNF - 43,O sistema deve preservar a unicidade de usuarios e filmes para evitar duplicidades no acervo e no acesso.,
