Requisitos - Categorias,Identificação,Descrição,https://github.com/spring-petclinic/spring-petclinic-modulith
Navegação e acesso,RF - 01,O sistema deve disponibilizar uma página inicial para entrada do usuário.,
,RF - 02,O sistema deve oferecer navegação para as funcionalidades principais de tutores e veterinários.,
Gestão de tutores,RF - 03,"O sistema deve permitir cadastrar tutores com nome, sobrenome, endereço, cidade e telefone.",
,RF - 04,O sistema deve permitir alterar os dados de um tutor já cadastrado.,
,RF - 05,O sistema deve permitir consultar tutores a partir do início do sobrenome informado.,
,RF - 06,O sistema deve permitir consulta ampla de tutores quando nenhum sobrenome for informado.,
,RF - 07,O sistema deve direcionar diretamente para o cadastro detalhado do tutor quando a busca retornar apenas um resultado.,
,RF - 08,O sistema deve apresentar uma lista paginada quando a busca retornar vários tutores.,
,RF - 09,O sistema deve informar ao usuário quando nenhuma correspondência de tutor for encontrada.,
,RF - 10,O sistema deve exibir os dados completos do tutor selecionado.,
Gestão de animais,RF - 11,O sistema deve permitir cadastrar um animal vinculado a um tutor.,
,RF - 12,O sistema deve permitir alterar os dados de um animal já cadastrado.,
,RF - 13,"O sistema deve registrar, para cada animal, nome, tipo e data de nascimento.",
,RF - 14,O sistema deve disponibilizar uma lista pré-definida de tipos de animal para seleção.,
,RF - 15,O sistema deve impedir que um mesmo tutor possua dois animais com o mesmo nome.,
,RF - 16,O sistema deve impedir o cadastro de data de nascimento futura para o animal.,
Gestão de visitas,RF - 17,O sistema deve permitir registrar uma visita para um animal específico.,
,RF - 18,"O registro da visita deve conter, no mínimo, data e descrição do atendimento.",
,RF - 19,O sistema deve sugerir a data atual como valor inicial para uma nova visita.,
,RF - 20,O sistema deve associar a visita registrada ao histórico do animal e do respectivo tutor.,
,RF - 21,O sistema deve exibir o histórico de visitas dos animais vinculados ao tutor.,
Gestão de veterinários,RF - 22,O sistema deve listar os veterinários cadastrados com seus nomes e especialidades.,
,RF - 23,O sistema deve informar a próxima visita prevista para cada veterinário.,
,RF - 24,O sistema deve apresentar a listagem de veterinários de forma paginada.,
,RF - 25,O sistema deve atribuir automaticamente cada nova visita a um veterinário.,
,RF - 26,A atribuição automática deve priorizar o veterinário com menor carga de atendimentos futuros.,
,RF - 27,"O sistema deve desconsiderar, periodicamente, atribuições de visitas já passadas no cálculo da carga dos veterinários.",
Integração,RF - 28,O sistema deve disponibilizar a lista de veterinários em formato estruturado para consumo por outros sistemas.,
Usabilidade,RNF - 29,": Usabilidade (Operabilidade). O sistema deve possuir interface web simples, com formulários e navegação de fácil compreensão.",
,RNF - 30,"O sistema deve apresentar mensagens claras de sucesso, erro e validação.",
,RNF - 31,"O sistema deve ser utilizável em diferentes tamanhos de tela, como computador e celular.",
Internacionalização,RNF - 32,O sistema deve suportar múltiplos idiomas de interface.,
,RNF - 33,As mensagens e rótulos devem manter consistência entre os idiomas suportados.,
Confiabilidade ,RNF - 34,O sistema deve validar dados obrigatórios antes de efetivar cadastros e alterações.,
,RNF - 35,O sistema deve exibir páginas de erro compreensíveis para falhas conhecidas e inesperadas.,
,RNF - 36,O registro de visitas deve permanecer consistente mesmo quando a distribuição ao veterinário ocorrer em etapa separada.,
,RNF - 37,"O sistema deve retomar processamentos internos pendentes após reinicialização, evitando perda de eventos relevantes.",
Segurança,RNF - 38,O sistema não deve permitir a alteração direta de identificadores internos por meio dos formulários.,
Eficiência de desempenho,RNF - 39,Consultas frequentes de veterinários devem ser otimizadas para reduzir tempo de resposta.,
,RNF - 40,Recursos estáticos da interface devem poder ser reutilizados temporariamente pelo navegador para melhorar carregamento.,
Capacidade,RNF - 41,"O sistema deve suportar crescimento do volume de tutores e veterinários sem comprometer a navegação básica, utilizando paginação.",
Portabilidade,RNF - 42,O sistema deve poder operar com diferentes configurações de armazenamento de dados.,
Manutenibilidade,RNF - 43,"O sistema deve ser organizado de forma a facilitar evolução isolada das áreas de tutores, veterinários e funções gerais.",
,RNF - 44,Os principais comportamentos do sistema devem ser passíveis de verificação por testes automatizados.,
